File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\100% Love (2012).avi,100% Love (2012),1.33,.avi,2579680,100% Love,2012,"['Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\14 Phere (2021).mkv,14 Phere (2021),0.6,.mkv,12887178,14 Phere,2021,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\7 Hours To Go (2016).mkv,7 Hours To Go (2016),1.33,.mkv,4365060,7 Hours to Go,2016,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Arahan.(2004).mkv,Arahan_(2004),0.87,.mkv,0404777,Arahan,2004,"['Action', 'Comedy', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Bapi Bari Jaa 2012 .mkv,Bapi Bari Jaa 2012,1.67,.mkv,2595394,Bapi Bari Jaa,2012,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Bengal Tiger (2015).mkv,Bengal Tiger (2015),1.36,.mkv,5266218,Bengal Tiger,2015,"['Action', 'Comedy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Bharat The Great Leader (2018).mkv,Bharat The Great Leader (2018),1.03,.mkv,21262240,Mission Raniganj,2023,"['Action', 'Biography', 'Drama', 'History', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Biriyani (2013).mkv,Biriyani (2013),1.35,.mkv,2638104,Biriyani,2013,"['Action', 'Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Bogan (2017).mp4,Bogan (2017),1.4,.mp4,6340112,Bogan,2017,"['Action', 'Fantasy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Cholo Paltai.VOB,Cholo Paltai,0.76,.VOB,12418418,Cholo Paltai,2019,"['Short', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Cinemawala (2016).mkv,Cinemawala (2016),0.34,.mkv,5716302,Cinemawala,2016,"['Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Cosmic Sex (2015).mkv,Cosmic Sex (2015),0.74,.mkv,4566934,Cosmic Sex,2015,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Drishyam (2013).mkv,Drishyam (2013),1.1,.mkv,3417422,Drishyam,2013,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Drishyam (2013).mkv,Drishyam (2013),1.1,.mkv,3417422,Drishyam,2013,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Drishyam (2013).srt,Drishyam (2013),0.0,.srt,3417422,Drishyam,2013,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Drishyam (2013).srt,Drishyam (2013),0.0,.srt,3417422,Drishyam,2013,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Happy New Year 2 (2016).mp4,Happy New Year 2 (2016),1.02,.mp4,2461132,Happy New Year,2014,"['Action', 'Comedy', 'Crime', 'Drama', 'Music']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\IIFA_Awards_2016.mkv,Iifa_Awards_2016,0.98,.mkv,5556144,2016 MTV Movie Awards,2016,"['Comedy', 'News']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Iru.Mugan.2016.mkv,Iru_Mugan_2016,0.74,.mkv,5372466,Irumugan,2016,"['Action', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Jatt And Juliet 2 2013.mp4,Jatt And Juliet 2 2013,1.45,.mp4,2673882,Jatt & Juliet 2,2013,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Kadamban (2017).mkv,Kadamban (2017),1.45,.mkv,6722870,Kadamban,2017,"['Action', 'Adventure', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Khoj (2017).mkv,Khoj (2017),1.11,.mkv,6095994,Khoj,2017,"['Crime', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Maari (2015).mkv,Maari (2015),1.33,.mkv,4859246,Maari,2015,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\MASS 2015.mkv,Mass 2015,0.4,.mkv,1355683,Black Mass,2015,"['Biography', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Maya_Telugu_2014.mkv,Maya_Telugu_2014,0.4,.mkv,28591191,Samaya - Telugu,2022,"['Short', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Mishawr Rawhoshyo [2013] ].mkv,Mishawr Rawhoshyo [2013] ],0.78,.mkv,3148268,Mishawr Rawhoshyo,2013,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Pulimurugan (2016).mkv,Pulimurugan (2016),0.98,.mkv,5297256,Pulimurugan,2016,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Punjab 1984.mp4,Punjab 1984,0.52,.mp4,3607198,Punjab 1984,2014,"['Drama', 'Family', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Rajkahini (2015).mkv,Rajkahini (2015),0.68,.mkv,4948632,Rajkahini,2015,"['Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Rajkahini (2015).mkv,Rajkahini (2015),0.68,.mkv,4948632,Rajkahini,2015,"['Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Rajkahini (2015).srt,Rajkahini (2015),0.0,.srt,4948632,Rajkahini,2015,"['Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Rajkahini (2015).srt,Rajkahini (2015),0.0,.srt,4948632,Rajkahini,2015,"['Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Sardaar Ji (2015)b.mkv,Sardaar Ji (2015)B,0.97,.mkv,4080386,Sardarji,2015,"['Comedy', 'Fantasy', 'Horror', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Sarrainodu (2017).mp4,Sarrainodu (2017),1.09,.mp4,5457772,Sarrainodu,2016,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Shaheb Bibi Golaam (2016).mp4,Shaheb Bibi Golaam (2016),0.99,.mp4,4943558,Saheb Bibi Golaam,2016,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Singam 3 (2017).mp4,Singam 3 (2017),0.68,.mp4,5323640,Singam 3,2017,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Sura (2017).mkv,Sura (2017),1.26,.mkv,7572744,Surat Cinta Untuk Starla the Movie,2017,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Thakka Thakka (2015).mkv,Thakka Thakka (2015),0.2,.mkv,4987572,Thakka Thakka,2015,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Theri (2016).mkv,Theri (2016),0.9,.mkv,5440700,Theri,2016,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\Vikram Vedha (2017).mkv,Vikram Vedha (2017),1.46,.mkv,6148156,Vikram Vedha,2017,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Others\VIP 2 (Lalkar) (2017).mkv,Vip 2 (Lalkar) (2017),1.02,.mkv,7019812,Velaiyilla Pattathari 2,2017,"['Action', 'Comedy']",Bollywood
