File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Qarib Qarib Singlle 20175.mkv,Qarib Qarib Singlle 20175,0.54,.mkv,7399470,Qarib Qarib Single,2017,"['Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Qissa (2013).mkv,Qissa (2013),0.98,.mkv,2334779,Qissa: The Tale of a Lonely Ghost,2013,"['Drama', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Queen 2014.mkv,Queen 2014,2.27,.mkv,2392810,Queen & Country,2014,"['Biography', 'Comedy', 'Drama', 'History']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Qurbani(1980).mp4,Qurbani(1980),1.34,.mp4,0246879,Qurbani,1980,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\R...Rajkumar.2013.mkv,R___Rajkumar_2013,1.2,.mkv,2369154,R... Rajkumar,2013,"['Action', 'Comedy', 'Crime', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raadhe_2021.mkv,Raadhe_2021,1.13,.mkv,10738782,Undiporaadhey,2019,['Romance'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raajneeti (2010).mkv,Raajneeti (2010),1.33,.mkv,1291465,Raajneeti,2010,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raajneeti.2010.mp4,Raajneeti_2010,1.24,.mp4,1291465,Raajneeti,2010,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raakh.1989.avi,Raakh_1989,0.66,.avi,0290820,Raakh,1989,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raakh.mp4,Raakh,1.08,.mp4,0290820,Raakh,1989,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raanjhanaa 2013.mp4,Raanjhanaa 2013,0.94,.mp4,2359810,Raanjhanaa,2013,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raat 1992.mp4,Raat 1992,0.38,.mp4,0266875,Raat,1992,['Horror'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raat Akeli Hai.mkv,Raat Akeli Hai,1.1,.mkv,12567088,Raat Akeli Hai,2020,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raaz.mkv,Raaz,0.39,.mkv,0307873,Raaz,2002,"['Drama', 'Horror', 'Musical', 'Mystery', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raaz_2002.mkv,Raaz_2002,1.31,.mkv,4059370,Laurent Gerra à l'Olympia 2002,2002,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Race.2.2013.mkv,Race_2_2013,1.05,.mkv,10686814,Terrace House: Tokyo 2019-2020,2019,"['Drama', 'Reality-TV']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Race.2008.mkv,Race_2008,0.73,.mkv,0072856,Death Race 2000,1975,"['Action', 'Comedy', 'Sci-Fi', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Ragini MMS 2 (2014).mkv,Ragini Mms 2 (2014),1.41,.mkv,2609218,Ragini MMS 2,2014,['Horror'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Rahasya 2015.mkv,Rahasya 2015,0.32,.mkv,3337550,Rahasya,2015,"['Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raja Hindustaani 1996.mkv,Raja Hindustaani 1996,4.89,.mkv,0117437,Raja Hindustani,1996,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raja Rani (1973).mp4,Raja Rani (1973),1.36,.mp4,0206240,Raja Rani,1973,"['Family', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raja.Babu.1994.mkv,Raja_Babu_1994,1.04,.mkv,0110942,Raja Babu,1994,"['Action', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raja.mp4,Raja,1.99,.mp4,0114230,Raja,1995,"['Action', 'Comedy', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Rajdhani.Express.mkv,Rajdhani_Express,0.3,.mkv,2560016,Rajdhani Express,2013,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Rajma.Chawal.2018.mkv,Rajma_Chawal_2018,1.19,.mkv,6747420,Rajma Chawal,2018,"['Comedy', 'Drama', 'Family']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raju.Ban.Gaya.Gentleman.1992.avi,Raju_Ban_Gaya_Gentleman_1992,0.69,.avi,0173102,Raju Ban Gaya Gentleman,1992,"['Comedy', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Rakht Charitra 2.avi,Rakht Charitra 2,0.68,.avi,1727535,Rakhta Charitra 2,2010,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\Q-Z\Raksha_Bandhan_2022.mkv,Raksha_Bandhan_2022,0.82,.mkv,12834962,Raksha Bandhan,2022,"['Comedy', 'Drama', 'Family']",Bollywood
