File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Anzaam.mkv,Anzaam,0.4,.mkv,0116756,Kazaam,1996,"['Comedy', 'Family', 'Fantasy', 'Musical']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Army (1996).mkv,Army (1996),0.67,.mkv,0115568,Army,1996,"['Action', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Baadshah (1999).mkv,Baadshah (1999),0.97,.mkv,0211934,Baadshah,1999,"['Action', 'Comedy', 'Crime', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Baazigar (1993).mkv,Baazigar (1993),1.2,.mkv,0106333,Baazigar,1993,"['Crime', 'Drama', 'Musical', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Chaahat (1996).mkv,Chaahat (1996),0.9,.mkv,0172234,Chaahat,1996,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Chalte Chalte (2003).mkv,Chalte Chalte (2003),1.4,.mkv,0346723,Chalte Chalte,2003,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Darr (1993).mkv,Darr (1993),1.21,.mkv,0109555,Darr,1993,"['Action', 'Drama', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Dear Zindagi (2016).mkv,Dear Zindagi (2016),1.4,.mkv,5946128,Dear Zindagi,2016,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Deewana (1992).mkv,Deewana (1992),0.42,.mkv,0126871,Deewana,1992,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shah Rukh Khan\Devdas.2002.mkv,Devdas_2002,1.79,.mkv,0238936,Devdas,2002,"['Drama', 'Musical', 'Romance']",Bollywood
