File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Amavas.2019.mkv,Amavas_2019,0.97,.mkv,8396186,Amavas,2019,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Casino.Royale.2006.mkv,Casino_Royale_2006,1.25,.mkv,0381061,Casino Royale,2006,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Curve.2015.mp4,Curve_2015,0.71,.mp4,3212904,Curve,2015,"['Horror', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Disturbing.The.Peace.2020.mp4,Disturbing_The_Peace_2020,0.8,.mp4,5717194,Disturbing the Peace,2020,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\El.Camino.A.B.B.M.2019.mkv,El_Camino_A_B_B_M_2019,1.06,.mkv,9243946,El Camino: A Breaking Bad Movie,2019,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Equity.2016.mkv,Equity_2016,0.88,.mkv,3958780,Equity,2016,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\EtharkkumThunindhavan(2022).mkv,Etharkkumthunindhavan(2022),1.34,.mkv,10340562,Etharkkum Thunindhavan,2022,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Glass_Onion A_Knives Out_Mystery_2022.mkv,Glass_Onion A_Knives Out_Mystery_2022,2.88,.mkv,11564570,Glass Onion,2022,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Murder on the Orient Express (2017).mp4,Murder On The Orient Express (2017),1.17,.mp4,3402236,Murder on the Orient Express,2017,"['Crime', 'Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\One Day 2011.mkv,One Day 2011,0.9,.mkv,1563738,One Day,2011,"['Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Outsource.2022.mkv,Outsource_2022,1.03,.mkv,1593756,Outsourced,2010,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Rakht Charitra 2.mp4,Rakht Charitra 2,0.98,.mp4,1727535,Rakhta Charitra 2,2010,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Rambo.Last.Blood.2019.mkv,Rambo_Last_Blood_2019,0.89,.mkv,1206885,Rambo: Last Blood,2019,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Relentless.2018.mp4,Relentless_2018,0.92,.mp4,0098184,Relentless,1989,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Ronaldo.2015.mkv,Ronaldo_2015,1.39,.mkv,5065822,Ronaldo,2015,"['Documentary', 'Biography', 'Sport']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Rough_Book_2016.mkv,Rough_Book_2016,0.79,.mkv,4358344,Rough Book,2016,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Shift\Run.All.Night.2015.mp4,Run_All_Night_2015,0.8,.mp4,2199571,Run All Night,2015,"['Action', 'Crime', 'Thriller']",Bollywood
