File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\13 Hours 2016.mkv,13 Hours 2016,0.88,.mkv,4172430,13 Hours,2016,"['Action', 'Drama', 'History', 'Thriller', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\2012 (2009).mkv,2012 (2009),1.4,.mkv,2321493,Romanian Art Scene 2009-2011,2012,['Documentary'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Annihilation_2018.mkv,Annihilation_2018,1.93,.mkv,2798920,Annihilation,2018,"['Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Attack on Titan (2015).mkv,Attack On Titan (2015),1.07,.mkv,2560140,Attack on Titan,2013,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Attack_on_Titan_Part_2_2015_1080p.mkv,Attack_On_Titan_Part_2_2015_1080P,1.08,.mkv,28246045,Attack on Titan: Part 2 (2015),2021,['Action'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Black.Swan.2010.mkv,Black_Swan_2010,0.7,.mkv,0947798,Black Swan,2010,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Bordertown.2006.mkv,Bordertown_2006,0.88,.mkv,4937942,Bordertown,2016,"['Crime', 'Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Children.2011.mp4,Children_2011,1.39,.mp4,0092400,Married... with Children,1987,['Comedy'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Contagion_2011.mkv,Contagion_2011,0.86,.mkv,1598778,Contagion,2011,"['Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Death_on_the_Nile_2022.mkv,Death_On_The_Nile_2022,1.92,.mkv,7657566,Death on the Nile,2022,"['Crime', 'Drama', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Flower.of.Evil.2020.mkv,Flower_Of_Evil_2020,1.02,.mkv,11691684,Flower of Evil,2020,"['Crime', 'Mystery', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Knowing_2009.mkv,Knowing_2009,1.94,.mkv,0448011,Knowing,2009,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Koffee_With_Karan_2022.mkv,Koffee_With_Karan_2022,0.41,.mkv,0445883,Koffee with Karan,2004,"['Comedy', 'Talk-Show']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Memories_of_Murder_2003.mp4,Memories_Of_Murder_2003,1.18,.mp4,0353969,Memories of Murder,2003,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Mission Impossible VI Fallout 2018.mkv,Mission Impossible Vi Fallout 2018,1.17,.mkv,4912910,Mission: Impossible - Fallout,2018,"['Action', 'Adventure', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Team_Six__The_Raid_On_OSama_Bin_Laden.mkv,Team_Six__The_Raid_On_Osama_Bin_Laden,1.89,.mkv,2095605,Seal Team Six: The Raid on Osama Bin Laden,2012,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\The Negotiation 2018.mkv,The Negotiation 2018,1.03,.mkv,6904272,The Negotiation,2018,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\The.Boy.Next.Door.2015.mkv,The_Boy_Next_Door_2015,0.69,.mkv,3181822,The Boy Next Door,2015,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\The.Dark.Knight.Rises.2012.mkv,The_Dark_Knight_Rises_2012,1.95,.mkv,1345836,The Dark Knight Rises,2012,"['Action', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\The.Hitmans.BodyGuard.2017.mkv,The_Hitmans_Bodyguard_2017,1.06,.mkv,1959563,The Hitman's Bodyguard,2017,"['Action', 'Comedy', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\The.Prestige.2006.mkv,The_Prestige_2006,1.48,.mkv,0482571,The Prestige,2006,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Till Death (2021).mkv,Till Death (2021),0.72,.mkv,11804152,Till Death,2021,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\Top_Gun_1986.mkv,Top_Gun_1986,1.14,.mkv,21919896,MTV 80s - Top 50 Hits of 1986!,2022,['Music'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\sep22\War.Horse.2011.mkv,War_Horse_2011,1.34,.mkv,1568911,War Horse,2011,"['Action', 'Adventure', 'Drama', 'History', 'War']",Bollywood
