,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,type
0,18650,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18650.00,653,-4,-0.60882800608828,8,78.57,3626.3,118.70000000000027,3.3840802828144683,8100,9650,50,3556.7,50,3570.4,22212.7,CE
1,18700,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18700.00,1353,-39,-2.8017241379310347,44,0.0,3543.35,13.349999999999909,0.3781869688385244,8800,11550,50,3507.15,50,3521.95,22212.7,CE
2,18750,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18750.00,23,0,0.0,0,0.0,3076.0,0.0,0.0,8150,8200,50,3457.4,50,3473.2,22212.7,CE
3,18800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18800.00,221,-2,-0.8968609865470852,2,0.0,3430.0,-20.0,-0.5797101449275363,10150,10200,50,3406.75,50,3415.05,22212.7,CE
4,18850,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18850.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8150,8200,50,3357.8,50,3373.45,22212.7,CE
5,18900,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18900.00,46,0,0.0,0,0.0,3100.0,0.0,0.0,8200,8200,50,3307.95,50,3323.0,22212.7,CE
6,18950,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE18950.00,4,0,0.0,0,0.0,2410.0,0.0,0.0,8200,9950,50,3258.2,50,3273.4,22212.7,CE
7,19000,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19000.00,9202,-336,-3.522751100859719,728,0.0,3206.35,-26.700000000000273,-0.8258455637865258,11300,8800,50,3208.1,50,3219.35,22212.7,CE
8,19050,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19050.00,2,0,0.0,0,0.0,2476.45,0.0,0.0,8200,8200,50,3158.5,50,3173.2,22212.7,CE
9,19100,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19100.00,40,0,0.0,0,0.0,3167.05,0.0,0.0,8250,8200,50,3108.4,50,3119.85,22212.7,CE
10,19150,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19150.00,5,1,25.0,2,73.44,3139.95,799.9499999999998,34.18589743589743,9900,7400,1800,3020.85,1050,3124.35,22212.7,CE
11,19200,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19200.00,53,-16,-23.18840579710145,16,0.0,3017.0,-57.15000000000009,-1.859050469235401,10250,8250,600,2993.35,100,3025.15,22212.7,CE
12,19250,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19250.00,2,0,0.0,0,0.0,2660.0,0.0,0.0,9900,11400,1800,2921.3,1500,3048.7,22212.7,CE
13,19300,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19300.00,105,-9,-7.894736842105263,12,0.0,2940.0,80.0,2.797202797202797,8300,8200,150,2908.9,50,2924.7,22212.7,CE
14,19350,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19350.00,180,0,0.0,0,0.0,2870.0,0.0,0.0,9900,9650,1800,2816.45,1500,2952.35,22212.7,CE
15,19400,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19400.00,162,-4,-2.4096385542168677,10,59.33,2867.0,257.0,9.846743295019158,9850,8300,200,2805.1,50,2824.95,22212.7,CE
16,19450,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11400,9650,1500,2534.6,1500,2845.1,22212.7,CE
17,19500,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19500.00,2414,-242,-9.11144578313253,257,0.0,2709.0,-46.34999999999991,-1.6821819369590036,9950,10200,400,2708.75,150,2720.6,22212.7,CE
18,19550,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19550.00,1,1,0.0,1,57.36,2719.05,1559.4500000000003,134.48171783373581,9900,11400,1800,2613.5,1500,2743.5,22212.7,CE
19,19600,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19600.00,251,-22,-8.058608058608058,22,0.0,2612.0,-19.90000000000009,-0.7561077548539112,12150,11450,150,2602.1,200,2626.95,22212.7,CE
20,19650,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19650.00,4,0,0.0,0,0.0,2456.7,0.0,0.0,11400,9650,1500,2359.3,1500,2641.9,22212.7,CE
21,19700,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19700.00,418,-10,-2.336448598130841,10,55.26,2571.0,24.0,0.9422850412249705,12100,10600,600,2507.75,300,2543.45,22212.7,CE
22,19750,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19750.00,6,0,0.0,0,0.0,1930.05,0.0,0.0,9900,11400,1800,2415.0,1500,2546.25,22212.7,CE
23,19800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19800.00,215,-2,-0.9216589861751152,2,44.32,2454.0,30.75,1.268956979263386,12850,8350,600,2394.65,100,2424.2,22212.7,CE
24,19850,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19850.00,5,0,0.0,0,0.0,2393.55,0.0,0.0,9900,11400,1800,2317.75,1500,2439.45,22212.7,CE
25,19900,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19900.00,187,-3,-1.5789473684210527,5,43.04,2354.65,1.7000000000002728,0.07224972906352761,12400,12550,350,2308.75,350,2346.55,22212.7,CE
26,19950,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE19950.00,34,0,0.0,0,0.0,2311.6,0.0,0.0,11400,11400,1500,2185.2,1500,2337.3,22212.7,CE
27,20000,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20000.00,10205,-774,-7.049822388195646,1350,0.0,2222.5,-19.300000000000182,-0.86091533589081,12650,14600,50,2213.75,50,2223.1,22212.7,CE
28,20050,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20050.00,19,0,0.0,0,0.0,2119.15,0.0,0.0,9950,9900,50,2138.0,3600,2219.15,22212.7,CE
29,20100,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20100.00,197,-8,-3.902439024390244,12,0.0,2144.0,38.30000000000018,1.8188725839388415,12350,12400,250,2107.7,200,2144.2,22212.7,CE
30,20150,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20150.00,5,0,0.0,0,0.0,2025.0,0.0,0.0,9950,9900,50,2038.95,3600,2120.4,22212.7,CE
31,20200,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20200.00,317,-26,-7.580174927113703,31,46.19,2072.9,36.100000000000136,1.7723880597014994,13550,11700,200,1996.55,300,2024.5,22212.7,CE
32,20250,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20250.00,33,0,0.0,0,0.0,1850.0,17.84999999999991,0.9742652075430455,9950,9950,50,1940.1,50,2005.55,22212.7,CE
33,20300,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20300.00,394,-4,-1.0050251256281406,8,32.12,1950.0,35.0,1.8276762402088773,12800,10200,100,1871.8,200,1924.05,22212.7,CE
34,20350,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20350.00,40,0,0.0,0,0.0,1880.0,0.0,0.0,9900,9900,1800,1825.65,3600,1917.55,22212.7,CE
35,20400,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20400.00,857,-11,-1.2672811059907834,14,0.0,1842.8,21.950000000000045,1.2054809566960512,10450,10000,150,1811.5,100,1824.9,22212.7,CE
36,20450,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20450.00,20,0,0.0,0,0.0,1808.55,0.0,0.0,9950,9950,50,1740.5,50,1800.8,22212.7,CE
37,20500,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20500.00,5267,-276,-4.979253112033195,709,0.0,1733.15,-10.0,-0.5736740957462065,17250,12950,400,1712.8,100,1723.3,22212.7,CE
38,20550,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20550.00,24,-2,-7.6923076923076925,2,0.0,1680.0,10.0,0.5988023952095809,10050,10000,50,1656.1,100,1680.0,22212.7,CE
39,20600,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20600.00,309,-24,-7.207207207207207,44,0.0,1637.3,-0.20000000000004547,-0.012213740458018044,14600,14700,200,1609.2,100,1629.05,22212.7,CE
40,20650,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20650.00,25,0,0.0,0,0.0,1570.0,0.0,0.0,9900,9950,1800,1523.55,50,1599.6,22212.7,CE
41,20700,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20700.00,1187,-7,-0.5862646566164154,26,0.0,1520.0,-7.5,-0.4909983633387889,13150,13900,200,1514.1,200,1526.3,22212.7,CE
42,20750,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20750.00,67,0,0.0,0,0.0,1468.0,2.599999999999909,0.17742595878257875,9900,9950,1800,1426.4,50,1493.2,22212.7,CE
43,20800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE20800.00,1679,5,0.2986857825567503,205,0.0,1433.5,10.650000000000091,0.748497733422363,11750,12750,250,1415.65,50,1424.1,22212.7,CE
