"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Jan-2023"
"NIFTY 200","12,056.60","12,074.80","11,971.10","12,055.40","12,019.45","-35.95","-0.30","2,70,31,96,358","65,074.44","12,074.80","8,767.55","3.37","26.69"
"IRFC","138.60","146.80","136.15","130.10","142.30","12.20","9.38","49,27,05,331","6,953.55","146.80","25.40","49.79","317.82"
"SAIL","115.05","119.95","114.00","114.65","119.95","5.30","4.62","6,35,60,474","748.55","126.90","77.60","7.27","34.55"
"LICI","856.00","900.00","850.00","854.80","893.50","38.70","4.53","1,25,25,303","1,111.29","900.00","530.05","12.11","25.22"
"PAYTM","720.00","750.00","719.20","714.20","746.50","32.30","4.52","1,02,45,974","756.57","998.30","508.10","23.30","33.43"
"ZEEL","243.90","254.95","243.25","242.80","253.75","10.95","4.51","2,89,21,018","724.91","299.70","170.10","-8.75","10.01"
"IOC","138.25","144.35","137.50","137.65","143.30","5.65","4.10","5,43,50,562","772.86","144.35","75.75","15.99","74.48"
"POLYCAB","4,290.00","4,361.00","4,255.00","4,198.20","4,345.00","146.80","3.50","25,99,390","1,121.58","5,733.00","2,655.25","-23.44","62.96"
"YESBANK","24.95","26.25","24.90","24.75","25.60","0.85","3.43","55,58,08,959","1,431.76","26.25","14.40","16.86","27.30"
"GUJGASLTD","544.90","558.40","540.55","541.60","556.70","15.10","2.79","28,39,045","156.99","558.40","397.05","24.01","23.48"
"BPCL","461.00","479.80","460.50","459.95","472.50","12.55","2.73","2,11,84,750","1,001.57","482.50","314.05","5.31","35.06"
"BANKINDIA","130.90","136.90","129.60","130.90","134.40","3.50","2.67","3,38,01,884","453.59","136.90","66.05","19.55","39.57"
"ESCORTS","2,909.00","2,964.90","2,901.15","2,901.45","2,962.00","60.55","2.09","5,37,904","157.85","3,440.15","1,807.70","-5.51","39.66"
