"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Jan-2023"
"NIFTY LARGEMIDCAP 250","13,718.50","13,736.85","13,581.25","13,701.40","13,659.75","-41.65","-0.30","2,90,61,43,918","67,777.96","13,736.85","5,635.20","3.80","35.84"
"IRFC","138.60","146.80","136.15","130.10","142.30","12.20","9.38","49,27,05,331","6,953.55","146.80","25.40","49.79","327.90"
"SAIL","115.05","119.95","114.00","114.65","119.95","5.30","4.62","6,35,60,474","748.55","126.90","77.60","7.27","36.01"
"LICI","856.00","900.00","850.00","854.80","893.50","38.70","4.53","1,25,25,303","1,111.29","900.00","530.05","12.11","25.85"
"PAYTM","720.00","750.00","719.20","714.20","746.50","32.30","4.52","1,02,45,974","756.57","998.30","508.10","23.30","35.01"
"ZEEL","243.90","254.95","243.25","242.80","253.75","10.95","4.51","2,89,21,018","724.91","299.70","170.10","-8.75","10.01"
"IOC","138.25","144.35","137.50","137.65","143.30","5.65","4.10","5,43,50,562","772.86","144.35","75.75","15.99","74.59"
"POLYCAB","4,290.00","4,361.00","4,255.00","4,198.20","4,345.00","146.80","3.50","25,99,390","1,121.58","5,733.00","2,655.25","-23.44","62.36"
"YESBANK","24.95","26.25","24.90","24.75","25.60","0.85","3.43","55,58,08,959","1,431.76","26.25","14.40","16.86","27.30"
"NIACL","219.20","229.00","217.35","216.95","223.80","6.85","3.16","31,23,417","69.90","261.90","94.60","-0.29","73.94"
"ISEC","769.10","799.55","764.60","758.85","780.80","21.95","2.89","9,75,105","76.68","799.55","416.30","7.00","55.36"
"GUJGASLTD","544.90","558.40","540.55","541.60","556.70","15.10","2.79","28,39,045","156.99","558.40","397.05","24.01","24.04"
"BPCL","461.00","479.80","460.50","459.95","472.50","12.55","2.73","2,11,84,750","1,001.57","482.50","314.05","5.31","35.51"
"BAYERCROP","5,783.30","5,996.00","5,781.05","5,783.30","5,940.00","156.70","2.71","16,823","9.95","5,996.00","3,920.45","10.53","26.16"
"BANKINDIA","130.90","136.90","129.60","130.90","134.40","3.50","2.67","3,38,01,884","453.59","136.90","66.05","19.55","37.51"
"SKFINDIA","4,561.15","4,710.05","4,561.15","4,552.15","4,670.00","117.85","2.59","74,188","34.39","5,534.95","3,960.10","1.95","0.34"
"JSL","591.90","606.95","588.75","590.15","603.00","12.85","2.18","14,12,873","84.46","622.50","230.20","11.16","148.14"
"AJANTPHARM","2,263.95","2,308.95","2,240.00","2,252.10","2,300.00","47.90","2.13","98,412","22.51","2,353.95","1,131.70","21.30","95.62"
