"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Jan-2023"
"NIFTY MICROCAP 250","19,791.60","19,858.40","19,406.85","19,725.90","19,643.05","-82.85","-0.42","93,67,22,294","9,295.06","19,858.40","5,802.95","6.05","74.79"
"MOIL","311.70","340.00","310.25","310.45","340.00","29.55","9.52","1,66,40,015","546.29","340.00","140.75","8.32","97.99"
"NFL","100.50","109.70","100.00","100.30","107.65","7.35","7.33","4,08,65,418","434.36","109.70","55.00","29.25","52.08"
"SOUTHBANK","28.35","29.90","27.95","27.85","29.70","1.85","6.64","14,45,32,113","421.02","29.90","13.75","9.61","54.83"
"MSTCLTD","866.00","926.00","846.55","859.45","916.50","57.05","6.64","48,29,938","433.85","926.00","239.00","83.69","199.84"
"GRAVITA","1,004.00","1,071.50","1,004.00","1,003.90","1,070.00","66.10","6.58","2,57,707","26.90","1,166.00","439.05","1.26","132.33"
"HERITGFOOD","308.15","328.30","305.90","307.00","323.80","16.80","5.47","29,75,516","95.58","328.30","135.15","36.98","-11.46"
"SUNFLAG","213.60","225.00","207.40","212.60","224.00","11.40","5.36","18,57,188","40.71","248.80","124.30","0.38","67.49"
"NEWGEN","880.00","901.05","850.00","858.15","900.00","41.85","4.88","4,25,034","37.70","901.05","190.00","-38.02","-"
"HSCL","375.20","393.50","372.10","374.80","392.00","17.20","4.59","16,35,182","63.42","398.75","80.20","-","-"
"AHLUCONT","805.85","852.00","800.00","799.50","834.00","34.50","4.32","2,29,157","19.12","872.55","447.65","-0.42","65.71"
"ARVINDFASN","469.95","489.00","467.10","465.95","485.90","19.95","4.28","5,55,408","26.57","494.00","261.10","19.84","45.94"
"GET&D","649.30","651.00","636.00","625.05","650.00","24.95","3.99","2,45,012","15.86","651.00","98.55","35.62","-"
"J&KBANK","133.05","138.20","131.00","132.35","137.45","5.10","3.85","87,55,724","118.11","140.00","44.55","7.36","138.61"
"BECTORFOOD","1,204.00","1,246.00","1,197.15","1,199.50","1,243.45","43.95","3.66","2,43,489","29.59","1,373.95","435.75","8.19","176.52"
