"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Jan-2023"
"NIFTY MIDCAP 100","47,970.75","48,053.45","47,249.65","47,837.95","47,667.40","-170.55","-0.36","2,07,17,90,804","28,666.95","48,053.45","29,200.20","4.56","52.15"
"IRFC","138.60","146.80","136.15","130.10","142.30","12.20","9.38","49,27,05,331","6,953.55","146.80","25.40","49.79","317.82"
"SAIL","115.05","119.95","114.00","114.65","119.95","5.30","4.62","6,35,60,474","748.55","126.90","77.60","7.27","34.55"
"PAYTM","720.00","750.00","719.20","714.20","746.50","32.30","4.52","1,02,45,974","756.57","998.30","508.10","23.30","33.43"
"ZEEL","243.90","254.95","243.25","242.80","253.75","10.95","4.51","2,89,21,018","724.91","299.70","170.10","-8.75","10.01"
"POLYCAB","4,290.00","4,361.00","4,255.00","4,198.20","4,345.00","146.80","3.50","25,99,390","1,121.58","5,733.00","2,655.25","-23.44","62.96"
"YESBANK","24.95","26.25","24.90","24.75","25.60","0.85","3.43","55,58,08,959","1,431.76","26.25","14.40","16.86","27.30"
"GUJGASLTD","544.90","558.40","540.55","541.60","556.70","15.10","2.79","28,39,045","156.99","558.40","397.05","24.01","23.48"
"BANKINDIA","130.90","136.90","129.60","130.90","134.40","3.50","2.67","3,38,01,884","453.59","136.90","66.05","19.55","39.57"
"ESCORTS","2,909.00","2,964.90","2,901.15","2,901.45","2,962.00","60.55","2.09","5,37,904","157.85","3,440.15","1,807.70","-5.51","39.66"
"POLICYBZR","863.00","892.90","859.00","863.90","881.00","17.10","1.98","22,58,184","199.10","892.90","390.70","11.72","89.93"
"PETRONET","232.00","239.65","230.70","232.25","236.75","4.50","1.94","73,39,467","173.13","254.40","191.70","10.53","7.03"
"IDFCFIRSTB","86.70","89.60","86.50","86.75","88.35","1.60","1.84","5,36,84,616","473.44","100.70","52.10","-1.89","46.68"
"BIOCON","282.25","288.70","276.30","281.10","286.15","5.05","1.80","1,35,68,999","386.78","294.50","191.55","14.26","14.10"
"RVNL","225.00","231.95","219.00","220.65","224.40","3.75","1.70","6,88,97,751","1,558.12","231.95","56.05","22.06","181.02"
"NMDC","209.80","214.00","205.40","209.40","212.85","3.45","1.65","1,77,24,461","373.38","227.30","103.75","9.13","62.28"
"PAGEIND","37,656.00","39,757.95","37,553.25","37,615.25","38,200.05","584.80","1.55","1,16,700","451.66","43,570.00","34,952.65","1.08","-4.94"
"INDIANB","437.95","444.00","434.30","434.20","440.40","6.20","1.43","28,10,788","123.88","463.00","252.20","-3.00","54.30"
"MANKIND","2,208.75","2,259.40","2,175.65","2,189.25","2,220.00","30.75","1.40","2,18,783","48.69","2,261.00","1,242.00","17.24","-"
"BHEL","202.05","203.75","197.00","201.25","203.25","2.00","0.99","3,62,97,046","732.98","204.90","66.30","11.81","151.55"
"UNIONBANK","134.95","140.20","133.50","134.10","135.20","1.10","0.82","3,09,74,573","424.10","140.20","60.35","5.96","72.63"
"DEVYANI","186.70","187.90","185.70","186.00","187.40","1.40","0.75","21,10,805","39.46","227.50","133.95","1.24","15.27"
"KPITTECH","1,540.00","1,558.00","1,525.55","1,538.80","1,550.00","11.20","0.73","6,58,975","101.86","1,640.00","685.50","1.82","123.32"
"LICHSGFIN","576.50","589.35","573.85","578.10","582.00","3.90","0.67","43,29,890","251.67","589.35","315.10","8.05","44.94"
"RAMCOCEM","981.50","993.85","978.85","981.15","987.05","5.90","0.60","3,23,198","31.91","1,058.20","642.05","-4.42","39.38"
"HINDPETRO","449.40","459.40","448.05","449.60","452.10","2.50","0.56","74,10,778","335.80","459.40","211.65","17.95","80.25"
"MRF","1,35,215.30","1,37,800.00","1,35,215.30","1,35,951.15","1,36,684.20","733.04","0.54","7,490","102.37","1,37,800.00","81,380.05","13.75","52.26"
"FACT","799.15","821.10","793.25","799.20","803.00","3.80","0.48","8,62,674","69.76","861.15","192.00","0.60","150.81"
"FORTIS","414.90","419.40","413.75","414.20","416.00","1.80","0.43","5,75,816","23.96","448.80","245.50","5.82","45.02"
"ALKEM","5,037.95","5,080.35","5,023.65","5,037.60","5,055.00","17.40","0.35","1,00,552","50.77","5,315.50","2,980.00","2.87","67.28"
"INDUSTOWER","222.20","222.25","213.30","218.25","218.95","0.70","0.32","1,33,70,944","292.56","229.95","135.15","11.05","18.91"
"IGL","434.85","434.85","427.40","432.80","434.00","1.20","0.28","28,38,638","122.52","515.70","375.70","8.44","4.13"
