"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Jan-2023"
"NIFTY NEXT 50","55,013.00","55,056.75","54,515.00","54,936.65","54,816.90","-119.75","-0.22","33,76,42,014","11,899.33","55,056.75","36,850.75","5.73","30.33"
"LICI","856.00","900.00","850.00","854.80","893.50","38.70","4.53","1,25,25,303","1,111.29","900.00","530.05","7.37","19.92"
"IOC","138.25","144.35","137.50","137.65","143.30","5.65","4.10","5,43,50,562","772.86","144.35","75.75","11.19","67.25"
"JINDALSTEL","735.65","756.95","729.00","735.05","749.00","13.95","1.90","26,76,909","199.84","767.90","503.00","1.47","20.50"
"CHOLAFIN","1,279.85","1,310.00","1,276.05","1,278.25","1,298.00","19.75","1.55","25,10,614","325.53","1,310.00","675.30","2.77","79.61"
"PIDILITIND","2,751.10","2,805.00","2,730.00","2,754.25","2,795.75","41.50","1.51","4,15,738","115.51","2,805.00","2,250.05","3.89","9.94"
"ABB","4,770.00","4,842.30","4,750.05","4,752.90","4,805.10","52.20","1.10","1,92,280","92.28","4,990.05","2,752.05","-1.70","63.90"
"SHREECEM","26,890.00","27,348.00","26,632.90","26,813.70","27,088.80","275.10","1.03","26,736","72.28","29,250.00","21,410.00","-6.76","11.08"
"GAIL","165.35","168.20","162.85","165.20","166.65","1.45","0.88","3,34,01,828","554.14","169.35","91.05","13.27","71.90"
"DABUR","556.15","561.90","552.95","554.15","558.60","4.45","0.80","20,27,207","113.30","597.10","503.65","2.68","1.92"
"PIIND","3,463.00","3,486.30","3,448.10","3,461.70","3,483.00","21.30","0.62","3,30,164","114.53","4,011.15","2,868.90","1.79","6.12"
"SRF","2,350.00","2,368.40","2,343.75","2,347.20","2,359.90","12.70","0.54","4,71,010","111.06","2,636.00","2,040.00","-3.79","6.75"
"COLPAL","2,486.90","2,524.80","2,460.00","2,486.90","2,500.00","13.10","0.53","4,75,637","118.86","2,544.00","1,434.60","4.24","67.55"
"MARICO","529.95","533.05","526.10","529.95","532.20","2.25","0.42","5,79,717","30.76","595.00","462.70","-0.98","6.73"
"TVSMOTOR","2,030.00","2,043.90","2,013.35","2,021.60","2,030.10","8.50","0.42","13,47,953","272.72","2,108.95","967.55","0.15","101.73"
"MCDOWELL-N","1,105.00","1,123.60","1,101.10","1,105.85","1,108.80","2.95","0.27","15,09,427","167.35","1,132.00","730.55","2.09","30.72"
"BANKBARODA","231.10","234.25","229.40","231.10","231.50","0.40","0.17","1,39,77,706","324.46","240.10","146.50","2.85","24.99"
"ZOMATO","135.00","135.30","131.00","133.40","133.50","0.10","0.07","4,70,43,428","627.70","141.50","44.35","7.93","150.52"
"BERGEPAINT","602.75","607.00","598.70","602.75","603.15","0.40","0.07","8,97,327","54.12","679.75","439.29","2.89","7.22"
"PNB","98.40","100.10","96.80","98.20","98.25","0.05","0.05","6,06,60,256","598.11","100.10","44.40","7.62","72.89"
"VEDL","277.00","278.05","269.35","273.00","273.00","-","-","1,25,07,371","342.73","340.75","208.00","6.14","-14.47"
"CANBK","464.65","471.35","461.20","465.40","464.65","-0.75","-0.16","52,08,291","243.03","471.35","268.80","3.62","43.38"
"SBICARD","768.05","774.00","762.25","768.05","766.50","-1.55","-0.20","12,88,356","98.93","933.00","695.55","-1.07","-2.45"
"ICICIGI","1,372.80","1,383.20","1,353.50","1,372.80","1,370.00","-2.80","-0.20","12,88,819","177.03","1,492.00","1,049.05","-5.43","9.37"
"MOTHERSON","109.65","110.60","107.70","109.65","109.20","-0.45","-0.41","1,90,19,888","208.00","111.30","61.80","11.60","41.94"
"TORNTPHARM","2,479.90","2,479.90","2,438.00","2,475.15","2,464.95","-10.20","-0.41","2,46,441","60.59","2,489.90","1,445.55","18.24","59.60"
"SHRIRAMFIN","2,325.00","2,334.95","2,295.05","2,319.55","2,309.35","-10.20","-0.44","13,29,590","308.02","2,334.95","1,190.00","11.64","80.76"
"VBL","1,273.80","1,276.00","1,256.05","1,271.70","1,266.00","-5.70","-0.45","13,20,740","167.40","1,380.00","550.00","15.71","11.97"
