SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,46694.7,46934.6,46526.0,46607.7,219003,3140475,85395,26-FEB-2024
FINNIFTY,20627.75,20747.05,20603.0,20621.4,3369,126680,16080,26-FEB-2024
MIDCPNIFTY,11049.95,11090.85,10683.95,11010.5,35268,1345575,345225,26-FEB-2024
NIFTY,22195.0,22230.6,22088.0,22141.65,181556,14839800,568000,26-FEB-2024
AARTIIND,672.35,681.5,665.8,672.5,9037,14077000,169000,26-FEB-2024
ABB,5377.85,5443.4,5146.4,5300.05,21456,1718750,-181000,26-FEB-2024
ABBOTINDIA,28527.3,28836.8,27605.35,28528.0,6461,195040,-3960,26-FEB-2024
ABCAPITAL,188.0,193.95,187.25,189.8,11469,70383600,286200,26-FEB-2024
ABFRL,226.75,229.8,224.25,225.8,490,48258600,-1274000,26-FEB-2024
ACC,2683.2,2724.45,2668.2,2679.1,10526,5131800,139500,26-FEB-2024
ADANIENT,3268.2,3350.2,3265.15,3328.5,37962,15971100,296100,26-FEB-2024
ADANIPORTS,1320.65,1343.6,1315.75,1337.45,36468,39512800,148800,26-FEB-2024
ALKEM,5393.35,5393.4,4673.7,5047.65,36335,1479800,-141800,26-FEB-2024
AMBUJACEM,604.0,614.5,602.95,607.7,23369,54801000,487800,26-FEB-2024
APOLLOHOSP,6799.9,6799.9,6583.2,6598.05,12033,1877875,-6625,26-FEB-2024
APOLLOTYRE,522.75,528.45,519.0,525.9,5383,10334300,71400,26-FEB-2024
ASHOKLEY,173.15,175.15,169.8,173.35,1752,107190000,-7215000,26-FEB-2024
ASIANPAINT,2934.2,2939.75,2847.55,2859.3,38858,9456600,755400,26-FEB-2024
ASTRAL,2090.2,2120.9,2045.8,2085.75,17418,3970573,-127716,26-FEB-2024
ATUL,6287.5,6309.8,6248.55,6284.7,3575,388725,37200,26-FEB-2024
AUBANK,599.05,600.0,585.65,587.8,21622,26430000,1236000,26-FEB-2024
AUROPHARMA,1041.15,1048.15,1021.35,1043.65,14619,21797600,26400,26-FEB-2024
AXISBANK,1092.45,1093.25,1079.3,1082.95,39728,46576875,313750,26-FEB-2024
BAJAJ-AUTO,8315.25,8454.6,8286.15,8357.85,14156,2237500,-58750,26-FEB-2024
BAJAJFINSV,1618.95,1628.9,1609.65,1615.95,8898,9479500,-228500,26-FEB-2024
BAJFINANCE,6696.05,6717.8,6619.8,6638.9,32163,9073625,141500,26-FEB-2024
BALKRISIND,2338.65,2338.65,2270.4,2294.05,6801,2619600,-27300,26-FEB-2024
BALRAMCHIN,377.75,385.2,375.0,378.75,432,12150400,-691200,26-FEB-2024
BANDHANBNK,210.0,210.0,199.35,202.8,49919,107017500,10597500,26-FEB-2024
BANKBARODA,270.6,272.35,267.25,269.35,25342,145264275,-1793025,26-FEB-2024
BATAINDIA,1421.15,1427.0,1415.0,1421.35,6714,3559875,-142125,26-FEB-2024
BEL,206.0,206.7,202.95,204.25,17151,131265300,2895600,26-FEB-2024
BERGEPAINT,559.6,567.6,543.8,564.0,11999,16084200,-2885520,26-FEB-2024
BHARATFORG,1137.7,1180.0,1118.7,1175.6,23439,8834000,299000,26-FEB-2024
BHARTIARTL,1122.45,1127.0,1106.0,1111.45,28239,35294400,-148200,26-FEB-2024
BHEL,229.35,231.7,226.0,227.7,10705,99645000,3312750,26-FEB-2024
BIOCON,273.45,275.2,268.8,274.0,610,39710000,-822500,26-FEB-2024
BOSCHLTD,28365.0,28986.7,28220.2,28772.6,4535,256800,29300,26-FEB-2024
BPCL,615.15,633.6,605.35,628.35,19855,38624400,2201400,26-FEB-2024
BRITANNIA,4953.0,4953.0,4901.3,4907.4,5678,2500000,-63200,26-FEB-2024
BSOFT,813.9,813.9,777.05,780.45,6910,8303000,367000,26-FEB-2024
CANBK,584.5,584.5,568.15,572.5,1544,50679000,-4149900,26-FEB-2024
CANFINHOME,807.75,808.55,795.35,799.9,2880,4553250,-151125,26-FEB-2024
CHAMBLFERT,366.1,366.35,356.05,357.2,2839,9213100,19000,26-FEB-2024
CHOLAFIN,1102.55,1115.7,1096.4,1110.2,13487,16280625,121250,26-FEB-2024
CIPLA,1465.8,1476.45,1458.55,1465.95,6690,9951500,1300,26-FEB-2024
COALINDIA,442.25,446.8,440.5,443.25,14844,66236100,-466200,26-FEB-2024
COFORGE,6588.3,6670.0,6476.6,6610.3,10256,1411350,-47400,26-FEB-2024
COLPAL,2556.8,2556.8,2516.0,2527.1,7926,3554950,28700,26-FEB-2024
CONCOR,1001.75,1004.95,981.0,989.95,18355,18076000,633000,26-FEB-2024
COROMANDEL,1081.75,1089.15,1054.8,1059.1,2448,1736700,-19600,26-FEB-2024
CROMPTON,291.15,293.55,286.15,287.7,5706,17753400,930600,26-FEB-2024
CUB,135.05,136.5,134.35,134.95,4403,44025000,-130000,26-FEB-2024
CUMMINSIND,2788.1,2809.5,2656.5,2739.55,17108,4353000,-205500,26-FEB-2024
DABUR,535.6,537.3,528.35,529.95,11859,23212500,113750,26-FEB-2024
DALBHARAT,2091.65,2123.2,2077.0,2110.3,9909,3293500,-5500,26-FEB-2024
DEEPAKNTR,2302.5,2319.75,2277.9,2283.65,6326,3018600,-14700,26-FEB-2024
DELTACORP,147.0,152.35,145.6,149.65,3701,12186000,-2109000,26-FEB-2024
DIVISLAB,3645.0,3653.2,3560.0,3577.25,12379,4096800,157600,26-FEB-2024
DIXON,6895.05,7042.05,6867.45,6942.15,16179,1557600,25900,26-FEB-2024
DLF,893.25,910.95,888.6,904.25,21521,35715900,556050,26-FEB-2024
DRREDDY,6421.6,6477.95,6376.15,6421.85,11495,2174250,74500,26-FEB-2024
EICHERMOT,3932.15,3994.0,3890.5,3957.55,18749,3877125,-54950,26-FEB-2024
ESCORTS,2905.3,2919.3,2851.35,2889.9,5709,2523675,20350,26-FEB-2024
EXIDEIND,329.7,331.75,327.95,328.75,3107,20008800,529200,26-FEB-2024
FEDERALBNK,152.7,152.8,150.1,151.75,13323,99910000,2425000,26-FEB-2024
GAIL,179.85,183.4,177.75,181.95,14882,138951900,1958100,26-FEB-2024
GLENMARK,910.0,943.25,908.0,929.4,27781,16707625,1241200,26-FEB-2024
GMRINFRA,88.5,89.5,86.85,87.85,950,217968750,-3397500,26-FEB-2024
GNFC,670.2,683.0,667.0,680.65,410,7944300,-404300,26-FEB-2024
GODREJCP,1259.4,1259.4,1234.45,1250.65,6780,6295000,-143500,26-FEB-2024
GODREJPROP,2467.2,2491.0,2401.0,2468.45,10967,4938100,-73625,26-FEB-2024
GRANULES,467.85,479.6,464.35,469.6,6976,11856000,492000,26-FEB-2024
GRASIM,2204.0,2207.5,2173.4,2190.6,10208,8721945,-185076,26-FEB-2024
GUJGASLTD,580.35,583.0,566.5,567.65,9014,7826250,-1002500,26-FEB-2024
HAL,3042.6,3078.5,3015.1,3054.25,19885,8892600,-188100,26-FEB-2024
HAVELLS,1426.3,1429.95,1411.4,1423.8,6244,4417500,42000,26-FEB-2024
HCLTECH,1663.55,1668.8,1642.75,1653.0,12129,13722800,-48300,26-FEB-2024
HDFCAMC,3777.25,3914.9,3752.8,3885.45,13410,3306300,302700,26-FEB-2024
HDFCBANK,1417.9,1437.0,1417.9,1425.8,164637,228197750,-456500,26-FEB-2024
HDFCLIFE,573.25,581.95,569.3,577.4,13705,35077900,1273800,26-FEB-2024
HEROMOTOCO,4500.0,4522.55,4458.65,4491.35,12338,4071300,-90900,26-FEB-2024
