SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,46719.7,47075.0,46610.0,46929.0,179925,5569770,-114390,22-MAR-2024
FINNIFTY,20702.5,20865.05,20700.0,20805.2,2836,85640,17960,22-MAR-2024
MIDCPNIFTY,10428.0,10428.0,10357.65,10400.95,19197,2075250,83400,22-MAR-2024
NIFTY,22060.0,22258.0,21953.85,22165.45,225611,15594100,-772000,22-MAR-2024
AARTIIND,648.0,658.5,647.1,655.75,5125,14815000,-236000,22-MAR-2024
ABB,5882.8,6101.85,5832.55,5986.65,11737,1125000,-17250,22-MAR-2024
ABBOTINDIA,27917.05,27996.1,26838.95,27102.85,4773,196520,-5280,22-MAR-2024
ABCAPITAL,173.75,176.85,173.75,175.65,5615,55485000,-4233600,22-MAR-2024
ABFRL,208.65,208.65,205.55,205.95,5953,46982000,353600,22-MAR-2024
ACC,2445.8,2467.4,2421.75,2451.1,8992,5120700,79500,22-MAR-2024
ADANIENT,3081.85,3138.0,3057.2,3119.75,29036,19892100,-172800,22-MAR-2024
ADANIPORTS,1260.9,1291.55,1257.8,1284.95,28665,51048000,-248000,22-MAR-2024
ALKEM,4824.75,4836.55,4775.9,4804.1,4366,1362800,141400,22-MAR-2024
AMBUJACEM,587.2,595.75,583.2,590.95,14359,50625000,1301400,22-MAR-2024
APOLLOHOSP,6187.9,6395.65,6183.6,6379.65,15030,2201375,-52375,22-MAR-2024
APOLLOTYRE,462.5,472.25,458.5,468.9,7797,14638700,-1234200,22-MAR-2024
ASHOKLEY,166.85,168.3,166.1,167.3,15497,106430000,-5270000,22-MAR-2024
ASIANPAINT,2823.2,2863.95,2814.0,2850.95,30666,8759200,-402600,22-MAR-2024
ASTRAL,1953.65,1962.3,1921.6,1948.3,8304,3070689,-270846,22-MAR-2024
ATUL,5900.2,5940.45,5880.75,5903.6,4616,414300,28050,22-MAR-2024
AUBANK,564.9,569.65,563.4,566.35,14473,20255000,-695000,22-MAR-2024
AUROPHARMA,1014.8,1036.7,1014.8,1021.95,9652,17782600,85800,22-MAR-2024
AXISBANK,1040.0,1049.0,1031.8,1035.25,49915,55083125,-499375,22-MAR-2024
BAJAJ-AUTO,8730.0,9045.95,8705.05,8946.7,26769,2705750,-135625,22-MAR-2024
BAJAJFINSV,1604.0,1610.8,1588.25,1592.75,9867,9858000,-233500,22-MAR-2024
BAJFINANCE,6730.2,6822.0,6681.55,6781.35,28124,7157000,-474375,22-MAR-2024
BALKRISIND,2319.85,2319.9,2262.2,2278.4,5654,2485200,4200,22-MAR-2024
BALRAMCHIN,364.85,374.2,364.85,368.3,514,11302400,-716800,22-MAR-2024
BANDHANBNK,181.1,183.3,180.3,182.45,17225,105450000,-1260000,22-MAR-2024
BANKBARODA,255.0,261.1,254.0,259.9,20776,130940550,-4056975,22-MAR-2024
BATAINDIA,1381.85,1400.0,1381.25,1384.4,6268,3495375,-293625,22-MAR-2024
