SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
BANKNIFTY,48751.0,48914.75,48666.1,48714.1,130187,2434710,-184860,12-APR-2024
FINNIFTY,21677.1,21700.2,21573.25,21589.65,2123,79320,4480,12-APR-2024
MIDCPNIFTY,10967.9,11013.0,10911.3,10927.65,7904,1945500,105375,12-APR-2024
NIFTY,22738.05,22767.4,22590.0,22601.45,192591,12876950,-245450,12-APR-2024
AARTIIND,736.75,756.5,733.15,753.45,7738,14522000,458000,12-APR-2024
ABB,6651.6,6777.7,6647.7,6753.95,4708,991375,-12500,12-APR-2024
ABBOTINDIA,27117.65,27303.0,26420.55,26469.9,1121,196520,320,12-APR-2024
ABCAPITAL,202.9,208.3,201.2,203.25,4328,49010400,1495800,12-APR-2024
ABFRL,237.55,241.05,234.2,234.7,3363,43349800,-962000,12-APR-2024
ACC,2528.95,2539.0,2465.0,2474.15,3129,5539500,48900,12-APR-2024
ADANIENT,3220.5,3259.0,3209.15,3214.85,5971,14279400,7500,12-APR-2024
ADANIPORTS,1354.95,1360.65,1346.0,1348.6,7384,38847200,37600,12-APR-2024
ALKEM,4871.6,4871.6,4743.45,4752.65,1660,1157600,62400,12-APR-2024
AMBUJACEM,621.75,631.1,607.8,611.25,5689,47644200,1389600,12-APR-2024
APOLLOHOSP,6490.5,6492.95,6385.1,6430.0,4059,1829625,96375,12-APR-2024
APOLLOTYRE,486.7,488.55,479.25,480.6,2579,12965900,341700,12-APR-2024
ASHOKLEY,178.45,181.45,177.6,178.9,5939,107710000,1535000,12-APR-2024
ASIANPAINT,2899.8,2899.8,2848.4,2857.4,12989,10936800,615200,12-APR-2024
ASTRAL,1995.45,2027.0,1968.05,1972.35,2139,3061881,104962,12-APR-2024
ATUL,6215.0,6260.0,6157.7,6172.55,2579,465750,5250,12-APR-2024
AUBANK,629.9,640.45,624.35,634.75,5612,19818000,159000,12-APR-2024
AUROPHARMA,1111.0,1121.3,1090.35,1092.8,2581,15185500,355300,12-APR-2024
AXISBANK,1086.85,1098.55,1075.4,1077.35,35963,54098750,-442500,12-APR-2024
BAJAJ-AUTO,8984.5,9151.0,8960.15,9084.65,7056,2703250,-38250,12-APR-2024
BAJAJFINSV,1702.75,1710.85,1692.3,1699.95,3979,9965000,-94000,12-APR-2024
BAJFINANCE,7229.9,7287.45,7180.5,7235.85,11669,6243125,70250,12-APR-2024
BALKRISIND,2420.05,2434.15,2388.8,2394.55,1852,2198100,-8700,12-APR-2024
BALRAMCHIN,388.0,390.5,377.5,378.2,440,13483200,-704000,12-APR-2024
BANDHANBNK,183.85,187.6,183.15,183.5,14045,112815000,9472500,12-APR-2024
BANKBARODA,269.9,272.8,268.25,268.85,7376,146911050,915525,12-APR-2024
BATAINDIA,1383.95,1404.4,1380.0,1386.75,6588,4303500,330750,12-APR-2024
BEL,230.85,236.2,230.65,234.25,21571,168896700,-3944400,12-APR-2024
BERGEPAINT,558.1,561.15,553.8,555.35,1196,13825680,91080,12-APR-2024
BHARATFORG,1179.95,1186.9,1162.7,1167.15,3692,7025000,206000,12-APR-2024
BHARTIARTL,1228.9,1236.0,1221.0,1226.65,10308,30974750,-1162800,12-APR-2024
BHEL,260.55,270.15,258.5,262.95,10512,84488250,-960750,12-APR-2024
BIOCON,279.3,283.6,273.25,274.35,6762,47850000,1117500,12-APR-2024
BOSCHLTD,29900.95,30269.6,29823.4,29881.3,818,315050,-450,12-APR-2024
BPCL,604.85,614.4,599.85,603.45,8993,28315800,1594800,12-APR-2024
BRITANNIA,4818.0,4825.45,4759.0,4767.75,3027,2118800,157600,12-APR-2024
BSOFT,733.5,753.0,732.75,734.85,3446,8007000,146000,12-APR-2024
CANBK,607.0,618.0,607.0,607.95,5968,65917800,1082700,12-APR-2024
CANFINHOME,810.8,815.45,784.55,786.9,1712,3762525,19500,12-APR-2024
CHAMBLFERT,380.05,382.45,371.4,373.35,1332,9370800,-106400,12-APR-2024
CHOLAFIN,1187.6,1198.8,1174.9,1177.9,1967,9823750,68125,12-APR-2024
CIPLA,1427.7,1428.8,1391.4,1399.65,4955,10634650,572650,12-APR-2024
COALINDIA,454.95,463.95,454.3,456.05,12774,57710100,-877800,12-APR-2024
COFORGE,5700.1,5740.05,5625.0,5637.2,3417,1675200,84750,12-APR-2024
COLPAL,2658.6,2700.85,2652.35,2669.15,1172,4069450,13650,12-APR-2024
CONCOR,970.1,976.0,947.95,950.45,4221,14965000,31000,12-APR-2024
COROMANDEL,1162.85,1184.0,1153.35,1158.2,1117,1458800,58800,12-APR-2024
CROMPTON,288.0,301.45,287.55,299.1,7864,19184400,-2757600,12-APR-2024
CUB,158.0,159.45,155.95,156.35,1262,33025000,-200000,12-APR-2024
CUMMINSIND,3029.05,3099.1,3015.05,3056.7,6268,3101700,19800,12-APR-2024
DABUR,505.35,508.0,499.5,501.6,3208,25032500,552500,12-APR-2024
DALBHARAT,1974.1,1976.95,1940.1,1954.55,5270,3045250,-297250,12-APR-2024
DEEPAKNTR,2296.5,2347.6,2287.05,2320.15,6092,2707800,-152100,12-APR-2024
DIVISLAB,3755.75,3811.35,3730.05,3783.4,5504,2887800,-4800,12-APR-2024
DIXON,7897.7,7996.0,7814.8,7852.1,6702,1094600,-44900,12-APR-2024
DLF,910.9,923.8,907.55,909.65,5424,42772950,125400,12-APR-2024
DRREDDY,6196.7,6197.1,6095.4,6102.9,4717,1984250,-10375,12-APR-2024
EICHERMOT,4305.0,4384.45,4271.0,4312.9,9551,2853900,-79975,12-APR-2024
ESCORTS,3031.55,3076.85,3015.35,3025.55,1828,1902175,-29700,12-APR-2024
EXIDEIND,385.0,403.05,383.1,399.95,1209,22150800,-3438000,12-APR-2024
FEDERALBNK,159.45,160.5,156.3,156.55,10131,112970000,5630000,12-APR-2024
GAIL,204.05,205.8,200.15,201.95,8278,133013550,4259325,12-APR-2024
GLENMARK,1039.0,1073.75,1034.25,1054.65,3472,13400900,248675,12-APR-2024
GMRINFRA,85.45,85.85,83.8,83.95,2874,185580000,506250,12-APR-2024
GNFC,710.1,714.45,696.4,700.15,2619,8193900,692900,12-APR-2024
GODREJCP,1227.1,1236.2,1198.4,1204.1,3446,6478500,521500,12-APR-2024
GODREJPROP,2664.9,2701.65,2663.95,2680.55,2865,4079775,63650,12-APR-2024
GRANULES,431.6,436.85,421.7,422.9,2194,10778000,300000,12-APR-2024
GRASIM,2304.4,2304.4,2258.15,2261.1,3367,6979941,224190,12-APR-2024
GUJGASLTD,565.95,569.4,558.8,562.45,1821,6491250,113750,12-APR-2024
HAL,3563.1,3690.8,3555.65,3645.95,23078,8014500,382500,12-APR-2024
HAVELLS,1501.2,1542.45,1492.6,1516.25,11179,7784500,698500,12-APR-2024
HCLTECH,1539.0,1546.6,1521.45,1527.15,7631,16066400,473900,12-APR-2024
HDFCAMC,3702.9,3746.3,3672.5,3688.0,2739,2924700,-28500,12-APR-2024
HDFCBANK,1528.0,1535.4,1518.5,1524.8,71122,179672350,7939800,12-APR-2024
HDFCLIFE,621.05,626.3,618.05,619.2,5241,30056400,1235300,12-APR-2024
HEROMOTOCO,4533.8,4533.8,4445.45,4455.1,3920,4698300,110100,12-APR-2024
HINDALCO,607.25,609.95,596.75,601.15,10698,39739000,341600,12-APR-2024
HINDCOPPER,360.55,377.8,358.0,362.9,409,31201100,-2167700,12-APR-2024
HINDPETRO,485.0,488.25,478.0,479.3,5927,34832700,324000,12-APR-2024
HINDUNILVR,2267.25,2269.45,2234.65,2239.0,12060,20678100,807000,12-APR-2024
ICICIBANK,1104.0,1111.7,1099.65,1108.0,35830,74767000,-1433600,12-APR-2024
ICICIGI,1688.6,1699.3,1661.35,1672.05,1209,2793500,-14500,12-APR-2024
ICICIPRULI,626.45,640.15,626.0,628.8,3254,12714000,118500,12-APR-2024
IDEA,12.75,12.95,12.05,12.75,3362,2523120000,-179040000,12-APR-2024
IDFC,124.4,125.85,123.85,124.0,2211,72080000,740000,12-APR-2024
IDFCFIRSTB,84.5,85.4,84.2,84.55,13638,359602500,1755000,12-APR-2024
IEX,150.2,155.2,149.25,152.3,6920,61905000,-663750,12-APR-2024
IGL,475.05,475.8,463.0,463.85,3144,16618250,-28875,12-APR-2024
INDHOTEL,597.9,617.9,597.9,610.05,5102,16572000,146000,12-APR-2024
INDIACEM,228.8,230.0,224.2,224.85,266,26152200,-771400,12-APR-2024
INDIAMART,2553.35,2610.15,2550.65,2579.95,2032,1439400,23700,12-APR-2024
INDIGO,3824.4,3824.4,3684.0,3703.0,9394,5587500,-18300,12-APR-2024
INDUSINDBK,1542.05,1568.1,1542.05,1558.05,9595,21942500,-544500,12-APR-2024
INDUSTOWER,332.5,336.45,324.4,328.65,9911,91568800,-2672400,12-APR-2024
INFY,1504.55,1510.0,1485.0,1490.0,34478,45698800,1097200,12-APR-2024
IOC,173.4,174.1,170.4,170.85,4717,165048000,1628250,12-APR-2024
IPCALAB,1330.0,1351.25,1326.4,1336.9,1759,2615600,-59800,12-APR-2024
IRCTC,1022.1,1073.0,1020.45,1061.0,19248,16784250,1240750,12-APR-2024
ITC,436.55,436.95,429.2,430.85,22194,116332800,4224000,12-APR-2024
JINDALSTEL,899.45,909.0,892.15,900.4,3420,14347500,488750,12-APR-2024
JKCEMENT,4336.7,4364.6,4264.65,4282.75,1161,791000,-25500,12-APR-2024
JSWSTEEL,882.0,882.0,864.5,867.5,10367,19407600,209925,12-APR-2024
JUBLFOOD,450.7,464.5,450.0,461.7,7432,19821250,222500,12-APR-2024
KOTAKBANK,1818.6,1822.9,1804.35,1814.8,18847,36644400,-287600,12-APR-2024
L&TFH,167.95,171.8,167.3,167.95,2487,50679396,1128886,12-APR-2024
LALPATHLAB,2323.85,2397.85,2320.5,2364.4,5555,2171100,-7200,12-APR-2024
LAURUSLABS,448.05,458.0,442.5,443.95,8266,14604700,581400,12-APR-2024
LICHSGFIN,646.7,661.5,646.35,651.25,5491,26776000,1422000,12-APR-2024
LT,3760.1,3805.85,3670.4,3688.3,19625,14241000,322800,12-APR-2024
LTIM,4929.9,4962.85,4894.85,4902.95,4853,3916650,57750,12-APR-2024
LTTS,5665.3,5768.7,5650.2,5665.85,1658,650200,14800,12-APR-2024
LUPIN,1614.25,1644.0,1600.7,1628.7,4758,6138700,-29750,12-APR-2024
M&M,2087.95,2087.95,2053.6,2069.55,9509,12861450,504700,12-APR-2024
M&MFIN,300.4,309.55,298.6,302.9,5241,23470000,1438000,12-APR-2024
MANAPPURAM,195.65,202.7,195.5,196.65,3181,61914000,2112000,12-APR-2024
