SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,416.0,416.9,408.9,409.85,183907,75763356.7,20-APR-2023
3MINDIA,22878.0,22878.0,22540.0,22627.85,3268,74136010.55,20-APR-2023
AARTIDRUGS,428.95,434.2,421.0,426.65,542124,231996287.05,20-APR-2023
AARTIIND,547.4,549.15,542.65,544.1,175258,95546920.3,20-APR-2023
AARTIPHARM,366.75,372.4,352.4,363.6,102033,37285577.7,20-APR-2023
AAVAS,1762.0,1762.0,1662.0,1668.1,601144,1021505361.85,20-APR-2023
ABB,3212.0,3231.75,3178.0,3184.3,276392,884212138.05,20-APR-2023
ABBOTINDIA,22733.95,22823.95,22548.55,22577.75,6245,141599098.6,20-APR-2023
ABCAPITAL,161.2,164.0,160.2,161.3,3458466,560296602.45,20-APR-2023
ABFRL,221.3,224.95,220.25,223.3,1078790,240716611.15,20-APR-2023
ACC,1750.0,1758.9,1735.0,1738.1,256370,447879279.6,20-APR-2023
ACCELYA,1411.95,1445.0,1394.2,1427.15,98322,139925807.25,20-APR-2023
ACE,415.4,415.4,408.7,411.65,312137,128609897.2,20-APR-2023
ACI,531.1,536.85,526.0,529.95,98906,52395055.4,20-APR-2023
ADANIENT,1855.0,1878.9,1836.85,1842.9,2016823,3738787276.0,20-APR-2023
ADANIGREEN,937.0,948.9,925.0,933.05,1181812,1106642733.2,20-APR-2023
ADANIPORTS,663.0,678.5,661.2,666.1,5009410,3352732718.15,20-APR-2023
ADANIPOWER,188.5,196.65,187.0,195.8,11055623,2142850476.85,20-APR-2023
ADVENZYMES,252.65,259.0,250.0,257.4,58570,14923002.85,20-APR-2023
AEGISCHEM,392.4,393.95,386.5,388.2,184311,71681395.0,20-APR-2023
AETHER,972.9,985.0,953.45,974.8,45442,44101581.95,20-APR-2023
AFFLE,918.5,922.0,906.5,908.7,198587,181008826.5,20-APR-2023
AGI,391.0,408.0,391.0,396.05,484755,194092205.05,20-APR-2023
AHLUCONT,530.95,535.0,517.25,519.45,35591,18712446.95,20-APR-2023
AIAENG,2759.95,2780.0,2734.0,2746.2,44180,121968630.1,20-APR-2023
AJANTPHARM,1308.6,1308.6,1290.3,1299.9,94433,122664585.15,20-APR-2023
ALKEM,3340.7,3398.95,3340.0,3355.9,259756,874071227.3,20-APR-2023
ALKYLAMINE,2450.0,2471.7,2361.1,2397.7,25886,63087866.2,20-APR-2023
AMBER,1835.0,1871.25,1828.0,1854.45,57193,106284985.65,20-APR-2023
AMBUJACEM,380.5,382.3,378.1,380.7,4345525,1651150045.35,20-APR-2023
AMIORG,1057.0,1075.0,1038.05,1064.35,113102,119809717.55,20-APR-2023
ANANDRATHI,859.45,865.5,858.15,860.75,31906,27490478.1,20-APR-2023
ANANTRAJ,135.95,137.0,133.55,135.65,1167640,157827449.9,20-APR-2023
ANGELONE,1265.45,1276.85,1230.55,1238.4,410307,511648727.75,20-APR-2023
ANURAS,1036.5,1057.0,1015.0,1049.6,555847,579676119.8,20-APR-2023
APARINDS,2687.0,2845.0,2660.1,2808.0,286625,792872952.9,20-APR-2023
APCOTEXIND,535.0,550.0,525.55,543.2,126007,68367397.2,20-APR-2023
APLAPOLLO,1234.0,1251.75,1213.0,1225.1,284286,349786224.65,20-APR-2023
APLLTD,534.45,537.05,527.35,532.8,120101,63853246.65,20-APR-2023
