SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,518.35,519.5,501.4,503.95,70412,35836492.35,02-AUG-2023
3MINDIA,28647.7,28890.0,27777.1,28267.15,3309,94375650.0,02-AUG-2023
AARTIDRUGS,598.8,624.4,592.5,598.95,1519267,923288004.45,02-AUG-2023
AARTIIND,479.85,480.95,467.6,471.5,1725425,819757975.25,02-AUG-2023
AARTIPHARM,351.65,358.0,342.55,350.05,271085,94778291.15,02-AUG-2023
AAVAS,1555.7,1582.4,1550.05,1559.65,185764,290588463.4,02-AUG-2023
ABB,4508.0,4557.0,4380.0,4408.0,217964,970672616.95,02-AUG-2023
ABBOTINDIA,23999.0,24235.0,23743.2,24084.7,17029,408157194.8,02-AUG-2023
ABCAPITAL,195.4,195.4,185.0,189.95,10634402,2010878901.6,02-AUG-2023
ABFRL,221.0,222.35,216.55,218.1,2009223,440581751.15,02-AUG-2023
ACC,2007.0,2026.7,1961.5,1971.25,677137,1345674290.7,02-AUG-2023
ACCELYA,1374.0,1377.0,1336.05,1352.9,27766,37608660.85,02-AUG-2023
ACE,722.95,723.0,705.05,715.0,226156,161525067.75,02-AUG-2023
ACI,513.0,519.95,498.9,501.65,782572,392495764.25,02-AUG-2023
ADANIENT,2493.0,2514.0,2451.0,2473.55,2506971,6233865419.4,02-AUG-2023
ADANIGREEN,1087.0,1094.0,1045.05,1052.45,1245613,1328179892.15,02-AUG-2023
ADANIPORTS,767.0,773.9,751.55,761.45,3017482,2301472530.9,02-AUG-2023
ADANIPOWER,273.4,276.45,260.6,267.7,6899383,1856844406.0,02-AUG-2023
ADVENZYMES,322.55,338.0,317.0,332.55,390780,128125475.2,02-AUG-2023
AEGISCHEM,375.5,387.0,375.5,380.85,337304,128587884.2,02-AUG-2023
AETHER,1099.85,1104.2,1031.75,1060.3,97182,104910622.35,02-AUG-2023
AFFLE,1149.0,1165.0,1106.3,1119.1,547388,620948104.8,02-AUG-2023
