SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,657.9,678.5,647.65,674.45,614017,411456242.75,27-DEC-2023
3MINDIA,31570.0,37438.4,31570.0,36389.95,88939,3094046024.4,27-DEC-2023
AARTIDRUGS,500.0,519.7,496.0,497.7,1359854,692230936.1,27-DEC-2023
AARTIIND,636.0,649.65,626.25,645.75,6230784,3992014687.15,27-DEC-2023
AARTIPHARM,510.0,535.35,508.35,530.7,575097,302600645.55,27-DEC-2023
AAVAS,1469.9,1500.4,1464.15,1488.65,524590,777570623.8,27-DEC-2023
ABB,4799.95,4822.9,4724.0,4733.6,165313,788510955.25,27-DEC-2023
ABBOTINDIA,22483.0,22692.95,22450.0,22570.1,11512,259882046.75,27-DEC-2023
ABCAPITAL,161.8,163.85,161.1,161.75,5227906,849371871.15,27-DEC-2023
ABFRL,221.45,223.4,219.3,220.05,1595008,353082447.5,27-DEC-2023
ACC,2134.0,2174.9,2134.0,2168.55,875390,1889329516.45,27-DEC-2023
ACCELYA,1402.5,1468.75,1401.55,1426.4,105548,152025028.8,27-DEC-2023
ACE,851.05,857.1,833.0,840.5,113159,95375953.6,27-DEC-2023
ACI,650.0,673.9,645.1,649.9,936637,617728899.5,27-DEC-2023
ACLGATI,127.0,127.65,123.3,124.25,832923,104200412.9,27-DEC-2023
ADANIENSOL,1070.0,1083.0,1047.2,1058.7,2801997,2960852334.6,27-DEC-2023
ADANIENT,2880.7,2894.8,2833.6,2843.35,1698325,4847407216.0,27-DEC-2023
ADANIGREEN,1644.0,1657.95,1570.05,1601.1,2120712,3434087116.7,27-DEC-2023
ADANIPORTS,1037.0,1037.05,1018.0,1024.4,2803997,2879339103.05,27-DEC-2023
ADVENZYMES,383.9,384.15,374.35,377.7,334913,126680176.7,27-DEC-2023
AEGISCHEM,366.1,367.85,356.8,357.9,311038,112167648.2,27-DEC-2023
AETHER,891.0,907.4,880.0,882.7,243466,217297243.25,27-DEC-2023
AFFLE,1237.0,1238.1,1210.0,1217.7,130269,159530512.15,27-DEC-2023
AGI,848.0,855.0,832.6,844.0,89569,75641668.0,27-DEC-2023
AHLUCONT,801.2,808.25,787.0,789.85,20126,16004563.95,27-DEC-2023
AIAENG,3595.85,3625.0,3576.0,3610.55,55795,201199782.8,27-DEC-2023
AJANTPHARM,1986.75,2068.0,1975.0,1997.45,276282,558263045.5,27-DEC-2023
ALKEM,5010.0,5090.0,4992.45,5075.3,240939,1216566269.0,27-DEC-2023
ALKYLAMINE,2598.7,2648.0,2486.8,2522.65,453106,1166700511.15,27-DEC-2023
ALLCARGO,329.7,329.7,317.0,319.35,1359291,436533858.65,27-DEC-2023
AMBER,3092.0,3180.0,3077.6,3130.3,207853,650255980.45,27-DEC-2023
AMBUJACEM,520.95,523.0,513.15,517.0,5618393,2910034415.9,27-DEC-2023
AMIORG,1182.05,1213.0,1162.0,1191.55,375522,447230648.6,27-DEC-2023
ANANDRATHI,2608.0,2610.0,2550.05,2571.0,97523,250776431.6,27-DEC-2023
ANANTRAJ,300.8,301.05,293.75,295.65,1032781,307394409.15,27-DEC-2023
ANGELONE,3305.0,3341.0,3279.1,3316.55,287730,953207215.2,27-DEC-2023
ANURAS,997.0,1016.45,992.0,1011.6,311500,311589982.65,27-DEC-2023
APARINDS,5650.45,5906.1,5591.2,5796.35,146378,838878854.4,27-DEC-2023
APCOTEXIND,507.85,526.3,504.3,520.9,71894,37205009.8,27-DEC-2023
APLAPOLLO,1590.05,1603.3,1578.4,1582.65,1074241,1715288647.55,27-DEC-2023
APLLTD,778.0,785.0,765.35,769.45,68041,52510160.5,27-DEC-2023
APOLLOHOSP,5635.0,5715.0,5615.6,5687.45,307177,1743888094.4,27-DEC-2023
APOLLOPIPE,680.0,694.0,680.0,688.4,72986,50244858.25,27-DEC-2023
APOLLOTYRE,431.15,442.5,431.15,435.65,2889653,1265425301.7,27-DEC-2023
APTUS,332.5,334.85,324.8,325.85,176906,58105742.35,27-DEC-2023
