SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,525.0,525.0,511.1,513.0,120782,62275418.25,26-JUL-2023
3MINDIA,28237.0,28349.9,27875.0,27955.75,1568,43955833.15,26-JUL-2023
AARTIDRUGS,612.0,620.95,578.1,581.45,2597391,1543405688.55,26-JUL-2023
AARTIIND,463.4,467.45,461.5,464.2,627337,291673402.35,26-JUL-2023
AARTIPHARM,342.0,345.9,337.45,339.15,109362,37099440.0,26-JUL-2023
AAVAS,1625.0,1631.0,1593.95,1616.2,195756,315601862.5,26-JUL-2023
ABB,4335.35,4420.45,4331.45,4398.5,214947,943063239.7,26-JUL-2023
ABBOTINDIA,22986.4,23039.75,22870.0,22945.45,9666,221610983.85,26-JUL-2023
ABCAPITAL,189.6,193.2,188.1,191.55,4049410,774950269.85,26-JUL-2023
ABFRL,218.0,218.4,214.65,216.05,2083640,450179876.2,26-JUL-2023
ACC,1899.95,1926.5,1873.85,1922.5,1090375,2080814648.2,26-JUL-2023
ACCELYA,1449.0,1452.0,1401.55,1441.85,44381,63502040.65,26-JUL-2023
ACE,677.9,737.0,672.0,726.05,1990394,1428909660.8,26-JUL-2023
ACI,528.0,529.6,522.1,524.75,68398,35991999.6,26-JUL-2023
ADANIENT,2472.45,2506.0,2446.0,2470.75,4021773,9972407788.65,26-JUL-2023
ADANIGREEN,1114.0,1184.85,1100.0,1140.4,6346278,7270752347.9,26-JUL-2023
ADANIPORTS,752.95,765.4,745.0,752.65,5868377,4435098591.25,26-JUL-2023
ADANIPOWER,262.0,265.45,252.9,255.5,14364433,3729944725.15,26-JUL-2023
ADVENZYMES,309.55,315.15,303.8,310.2,171211,53137608.85,26-JUL-2023
AEGISCHEM,377.4,377.4,370.0,372.05,294313,110154450.1,26-JUL-2023
AETHER,1080.0,1094.4,1003.35,1019.25,212860,224671283.05,26-JUL-2023
AFFLE,1043.75,1086.85,1032.0,1076.7,372310,397735676.55,26-JUL-2023
AGI,630.0,661.0,575.0,637.35,1064794,668570451.05,26-JUL-2023
AHLUCONT,678.8,710.0,678.8,703.8,116675,81804410.05,26-JUL-2023
AIAENG,3505.0,3586.8,3461.1,3481.85,67733,239172237.25,26-JUL-2023
AJANTPHARM,1516.0,1535.0,1494.05,1505.85,201401,304917771.5,26-JUL-2023
ALKEM,3936.65,4030.0,3914.7,4004.9,313896,1255504060.7,26-JUL-2023
ALKYLAMINE,2430.0,2438.0,2398.0,2421.7,22720,54952459.4,26-JUL-2023
ALLCARGO,301.2,301.85,297.1,299.3,223069,66659683.75,26-JUL-2023
AMBER,2250.0,2425.0,2192.95,2411.5,966307,2273054471.25,26-JUL-2023
AMBUJACEM,443.7,448.35,436.7,443.5,5027847,2228251848.5,26-JUL-2023
AMIORG,1157.0,1163.5,1113.0,1122.0,130244,147788236.1,26-JUL-2023
ANANDRATHI,1070.95,1104.0,1066.4,1100.8,129271,140859506.75,26-JUL-2023
ANANTRAJ,192.4,196.0,191.4,194.8,843268,163547510.7,26-JUL-2023
ANGELONE,1607.3,1616.75,1585.55,1592.7,228653,365140646.7,26-JUL-2023
ANURAS,980.05,985.95,975.0,977.65,27746,27180860.75,26-JUL-2023
APARINDS,3852.95,3865.8,3665.55,3702.1,84555,316245820.0,26-JUL-2023
