SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,423.8,426.0,416.1,419.1,269471,113264395.75,02-JUN-2023
3MINDIA,26340.0,26501.9,26055.45,26253.95,5070,133197907.55,02-JUN-2023
AARTIDRUGS,456.0,458.9,450.55,456.35,120933,55038699.35,02-JUN-2023
AARTIIND,519.0,520.55,512.35,513.65,600008,308995518.75,02-JUN-2023
AARTIPHARM,371.0,372.15,362.55,364.05,74063,27123256.25,02-JUN-2023
AAVAS,1400.0,1402.0,1385.95,1394.05,187697,261619268.45,02-JUN-2023
ABB,3977.0,4028.2,3938.5,4021.55,397566,1588388808.75,02-JUN-2023
ABBOTINDIA,21602.0,21995.95,21503.0,21927.25,10784,234535148.7,02-JUN-2023
ABCAPITAL,174.25,176.6,172.05,172.55,6648877,1156549337.9,02-JUN-2023
ABFRL,203.9,204.9,202.2,202.6,1676562,340991377.8,02-JUN-2023
ACC,1809.95,1819.0,1790.25,1815.6,819953,1483866234.3,02-JUN-2023
ACCELYA,1377.25,1383.0,1345.0,1349.0,17659,24028042.1,02-JUN-2023
ACE,476.0,505.0,475.95,495.9,1550159,762543385.8,02-JUN-2023
ACI,547.95,547.95,540.5,544.9,122302,66548037.7,02-JUN-2023
ADANIENT,2535.0,2538.9,2425.0,2445.05,5543791,13633668219.65,02-JUN-2023
ADANIGREEN,992.0,992.0,975.9,983.55,3707803,3646280813.25,02-JUN-2023
ADANIPORTS,738.0,744.0,734.0,736.6,5554473,4098642831.35,02-JUN-2023
ADANIPOWER,255.55,261.3,253.25,255.65,4140222,1061633523.85,02-JUN-2023
ADVENZYMES,289.7,293.75,278.0,282.3,146290,41928490.4,02-JUN-2023
AEGISCHEM,346.0,349.75,330.1,333.7,1291793,436178679.55,02-JUN-2023
AETHER,909.95,927.0,906.9,917.85,36947,33992869.8,02-JUN-2023
AFFLE,967.05,971.95,960.0,963.35,144475,139442970.5,02-JUN-2023
AGI,592.35,595.0,575.6,588.4,277442,162714830.45,02-JUN-2023
AHLUCONT,589.9,600.0,575.25,585.65,77277,45607154.55,02-JUN-2023
AIAENG,3033.25,3074.0,2994.35,3058.35,85352,259482438.6,02-JUN-2023
AJANTPHARM,1319.9,1331.6,1301.8,1322.75,35785,47213618.75,02-JUN-2023
ALKEM,3380.35,3397.1,3341.1,3363.75,63221,212503611.65,02-JUN-2023
ALKYLAMINE,2486.25,2486.25,2435.0,2441.35,23534,57747930.35,02-JUN-2023
ALLCARGO,282.0,282.8,277.25,278.95,287807,80750682.95,02-JUN-2023
AMBER,2152.0,2223.0,2151.95,2182.4,229920,505344049.05,02-JUN-2023
AMBUJACEM,431.45,440.0,431.45,438.05,5425758,2368797625.65,02-JUN-2023
AMIORG,1209.2,1225.0,1204.0,1212.9,54564,66151153.05,02-JUN-2023
ANANDRATHI,854.7,862.0,851.4,856.75,22010,18850361.7,02-JUN-2023
ANANTRAJ,152.35,156.9,152.15,156.05,1370654,212534923.7,02-JUN-2023
ANGELONE,1346.0,1349.1,1297.0,1313.0,577597,758917029.65,02-JUN-2023
ANURAS,1114.65,1124.05,1110.0,1118.35,62882,70343744.45,02-JUN-2023
APARINDS,2735.0,2744.95,2672.0,2706.7,59979,162086845.8,02-JUN-2023
APCOTEXIND,499.0,505.95,489.7,492.05,64766,32165021.25,02-JUN-2023
APLAPOLLO,1142.75,1143.0,1124.4,1135.45,539678,610950026.85,02-JUN-2023
APLLTD,551.6,560.85,551.0,553.85,54509,30389572.25,02-JUN-2023
APOLLOHOSP,4839.65,5002.2,4806.0,4967.3,1326161,6527859385.95,02-JUN-2023
APOLLOPIPE,626.2,647.0,620.05,641.9,225448,142932730.8,02-JUN-2023
APOLLOTYRE,392.0,393.5,388.35,391.95,1184325,463695952.45,02-JUN-2023
APTUS,267.1,277.15,266.5,273.35,544291,149052441.2,02-JUN-2023
ARVIND,126.1,127.5,124.75,126.3,952730,120320874.55,02-JUN-2023
ARVINDFASN,289.05,299.7,285.1,296.55,569858,168038158.1,02-JUN-2023
ASAHIINDIA,456.0,459.0,450.85,452.8,89050,40341190.05,02-JUN-2023
ASHOKA,78.75,83.5,78.7,82.0,5152608,422586833.8,02-JUN-2023
ASHOKLEY,146.35,146.9,144.45,146.15,8208381,1196951124.8,02-JUN-2023
ASIANPAINT,3239.4,3249.95,3219.0,3237.25,781973,2531888968.15,02-JUN-2023
ASTEC,1399.0,1425.0,1378.0,1409.85,18682,26179402.4,02-JUN-2023
ASTERDM,271.9,278.0,267.0,271.15,347984,94394012.85,02-JUN-2023
ASTRAL,1820.0,1880.0,1818.0,1866.25,853520,1586028272.15,02-JUN-2023
ASTRAMICRO,344.95,354.9,344.95,352.4,922059,324277788.8,02-JUN-2023
ASTRAZEN,3550.05,3588.95,3476.05,3502.35,18605,65667493.7,02-JUN-2023
ATGL,694.35,702.4,668.0,674.4,4373895,2978772986.8,02-JUN-2023
ATUL,6750.0,6885.25,6738.25,6758.55,26943,182940116.25,02-JUN-2023
AUBANK,774.0,779.95,768.95,773.45,1927608,1490173258.25,02-JUN-2023
