SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,415.8,419.3,413.2,416.2,141289,58770165.35,26-MAY-2023
3MINDIA,23962.0,24600.0,23823.85,24216.55,3086,74958854.5,26-MAY-2023
AARTIDRUGS,447.0,461.8,443.8,447.3,68007,30467435.0,26-MAY-2023
AARTIIND,507.45,512.0,505.2,511.2,598726,304607444.5,26-MAY-2023
AARTIPHARM,355.6,360.0,346.45,349.15,116225,40990710.6,26-MAY-2023
AAVAS,1414.0,1414.0,1362.0,1368.4,346861,479050217.55,26-MAY-2023
ABB,3955.0,4012.3,3950.0,4004.75,327697,1308672472.9,26-MAY-2023
ABBOTINDIA,21940.0,21941.65,21680.0,21901.45,6057,132221338.85,26-MAY-2023
ABCAPITAL,165.0,167.4,164.2,165.25,1338330,221401754.45,26-MAY-2023
ABFRL,199.5,200.85,195.85,197.05,3413417,675941624.2,26-MAY-2023
ACC,1790.0,1810.0,1773.55,1785.0,373972,666846657.2,26-MAY-2023
ACCELYA,1279.95,1322.6,1274.05,1305.5,42725,55586290.85,26-MAY-2023
ACE,460.85,470.0,459.45,462.75,280294,130084647.5,26-MAY-2023
ACI,529.0,536.7,525.15,531.8,78927,41979556.2,26-MAY-2023
ADANIENT,2565.0,2599.95,2535.15,2544.35,3963515,10143788505.15,26-MAY-2023
ADANIGREEN,979.55,982.0,960.0,963.35,866198,839119184.95,26-MAY-2023
ADANIPORTS,729.1,730.35,720.6,726.85,4507617,3272506893.75,26-MAY-2023
ADANIPOWER,261.55,263.8,257.0,258.05,3436434,893610416.2,26-MAY-2023
ADVENZYMES,276.25,282.1,268.6,273.95,54161,14912108.55,26-MAY-2023
AEGISCHEM,366.0,371.8,357.05,359.55,791460,289642404.95,26-MAY-2023
AETHER,906.45,922.55,902.0,905.95,25484,23193626.15,26-MAY-2023
AFFLE,941.65,941.65,916.1,924.95,1387359,1281996647.5,26-MAY-2023
AGI,584.6,595.05,581.0,581.8,117562,69005308.05,26-MAY-2023
AHLUCONT,532.25,542.0,520.0,525.8,68379,36185665.25,26-MAY-2023
AIAENG,2920.25,2960.0,2790.05,2800.45,317003,898937463.35,26-MAY-2023
AJANTPHARM,1295.05,1301.0,1273.65,1293.0,49477,63881636.3,26-MAY-2023
ALKEM,3329.1,3368.5,3309.95,3345.85,140257,469941629.25,26-MAY-2023
ALKYLAMINE,2470.05,2499.65,2470.05,2478.6,11584,28718138.9,26-MAY-2023
ALLCARGO,286.9,287.4,274.6,275.4,401603,111962102.2,26-MAY-2023
AMBER,2129.4,2175.0,2113.15,2123.6,133998,287329330.6,26-MAY-2023
AMBUJACEM,421.4,425.65,417.5,424.55,3769455,1591782772.7,26-MAY-2023
AMIORG,1229.9,1246.0,1204.65,1232.25,236191,290957428.4,26-MAY-2023
ANANDRATHI,851.6,855.0,847.0,850.9,12060,10261838.3,26-MAY-2023
ANANTRAJ,144.4,148.9,143.8,147.05,648261,95127278.8,26-MAY-2023
ANGELONE,1240.0,1284.4,1235.05,1277.8,375632,474114481.05,26-MAY-2023
ANURAS,1198.0,1223.25,1198.0,1219.8,303090,367904406.25,26-MAY-2023
APARINDS,2739.95,2769.8,2715.0,2751.5,100667,276128295.8,26-MAY-2023
APCOTEXIND,512.3,516.0,500.4,503.15,39307,19965880.8,26-MAY-2023
APLAPOLLO,1140.05,1146.65,1124.6,1128.35,445513,506143593.85,26-MAY-2023
APLLTD,555.5,565.05,545.0,546.4,174839,96790223.7,26-MAY-2023
APOLLOHOSP,4590.0,4620.0,4551.25,4609.9,289579,1332673780.9,26-MAY-2023
APOLLOPIPE,628.0,634.45,616.0,619.55,44138,27496535.1,26-MAY-2023
APOLLOTYRE,389.8,393.9,389.2,392.5,1949600,763726168.25,26-MAY-2023
APTUS,262.65,262.9,255.35,256.4,170463,43929440.2,26-MAY-2023
ARVIND,119.3,121.65,119.0,120.75,851449,102627094.7,26-MAY-2023
ARVINDFASN,274.75,278.15,270.15,271.3,86730,23679545.55,26-MAY-2023
ASAHIINDIA,464.0,464.25,454.8,456.8,47011,21529044.65,26-MAY-2023
ASHOKA,77.35,78.9,76.25,76.5,1260246,97388321.65,26-MAY-2023
ASHOKLEY,146.2,146.5,144.8,145.5,10268894,1494166748.65,26-MAY-2023
ASIANPAINT,3123.0,3136.95,3111.75,3128.4,568249,1776683403.35,26-MAY-2023
ASTEC,1442.6,1485.0,1440.25,1479.35,9729,14286825.5,26-MAY-2023
ASTERDM,277.95,277.95,261.5,270.0,1210386,324991020.4,26-MAY-2023
ASTRAL,1764.95,1779.9,1748.05,1776.35,544317,961544036.25,26-MAY-2023
ASTRAMICRO,338.0,339.0,316.2,325.35,622862,204861880.95,26-MAY-2023
ASTRAZEN,3229.8,3259.75,3205.0,3209.4,2628,8469600.75,26-MAY-2023
ATGL,803.95,806.65,756.6,760.7,2595733,2005607604.35,26-MAY-2023
