SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,547.1,557.05,546.05,550.95,405024,222700162.0,21-NOV-2023
3MINDIA,30739.0,31231.0,30647.9,30957.2,2328,72230478.7,21-NOV-2023
AARTIDRUGS,476.1,481.0,468.7,472.35,153731,72943594.8,21-NOV-2023
AARTIIND,519.65,525.45,518.2,521.1,756173,394244234.9,21-NOV-2023
AARTIPHARM,410.0,410.0,394.0,397.2,64932,26054443.25,21-NOV-2023
AAVAS,1511.3,1540.05,1471.25,1525.95,239880,361616292.1,21-NOV-2023
ABB,4393.95,4429.9,4335.05,4345.3,345900,1511220579.8,21-NOV-2023
ABBOTINDIA,24005.0,24173.2,23811.2,23950.6,7418,177798573.85,21-NOV-2023
ABCAPITAL,172.0,173.0,170.95,171.65,1826616,313859634.95,21-NOV-2023
ABFRL,215.45,217.0,213.2,213.55,1165340,250333245.8,21-NOV-2023
ACC,1832.0,1849.9,1830.0,1839.55,187241,344778658.85,21-NOV-2023
ACCELYA,1424.7,1429.0,1400.0,1402.4,14470,20368470.75,21-NOV-2023
ACE,856.0,865.75,830.1,833.8,191690,162260030.4,21-NOV-2023
ACI,528.1,528.9,520.0,525.05,244849,128531119.55,21-NOV-2023
ADANIENSOL,737.0,744.95,728.8,731.8,383315,282511176.0,21-NOV-2023
ADANIENT,2160.0,2232.55,2158.35,2196.65,1839502,4059915039.85,21-NOV-2023
ADANIGREEN,926.2,936.85,920.0,926.6,377892,351093466.45,21-NOV-2023
ADANIPORTS,805.0,814.9,799.3,801.35,3643664,2938981343.3,21-NOV-2023
ADANIPOWER,390.45,396.65,390.2,392.5,14188472,5589441108.75,21-NOV-2023
ADVENZYMES,318.15,324.45,313.3,315.45,115791,36975151.2,21-NOV-2023
AEGISCHEM,316.95,317.2,312.15,312.95,448210,140555335.9,21-NOV-2023
AETHER,890.0,894.9,871.0,875.4,52721,46243334.55,21-NOV-2023
AFFLE,1049.9,1066.0,1042.0,1055.35,210837,222613003.8,21-NOV-2023
AGI,1025.9,1032.9,991.8,995.4,212127,213563145.2,21-NOV-2023
AHLUCONT,809.95,812.0,784.75,803.0,116321,93790990.15,21-NOV-2023
AIAENG,3480.0,3498.6,3440.0,3454.6,197650,688313413.95,21-NOV-2023
AJANTPHARM,1979.95,1980.0,1951.05,1969.15,63363,124867246.05,21-NOV-2023
ALKEM,4410.0,4500.0,4401.05,4488.3,246036,1100755248.05,21-NOV-2023
ALKYLAMINE,2132.95,2147.0,2120.0,2130.0,27150,57854401.05,21-NOV-2023
ALLCARGO,279.1,281.75,275.0,277.1,256062,71268410.35,21-NOV-2023
AMBER,3385.0,3436.0,3243.35,3292.7,169443,561122308.7,21-NOV-2023
AMBUJACEM,422.4,424.3,419.1,420.15,1003554,422600747.6,21-NOV-2023
AMIORG,1085.0,1090.0,1071.65,1078.8,26725,28893443.45,21-NOV-2023
ANANDRATHI,2376.0,2376.75,2201.2,2286.05,101153,234053988.1,21-NOV-2023
ANANTRAJ,254.95,256.1,248.85,253.35,708024,178950416.55,21-NOV-2023
ANGELONE,3020.0,3032.15,2921.35,2952.2,452737,1353392350.2,21-NOV-2023
ANURAS,933.1,939.0,928.45,935.8,221812,207441052.1,21-NOV-2023
APARINDS,5905.0,5974.4,5719.05,5790.65,91843,534545897.7,21-NOV-2023
APCOTEXIND,552.15,562.55,540.0,543.0,50041,27419351.45,21-NOV-2023
APLAPOLLO,1685.0,1690.0,1640.15,1649.45,1176091,1964564837.45,21-NOV-2023
APLLTD,748.9,752.4,735.8,743.25,40681,30368040.75,21-NOV-2023
APOLLOHOSP,5500.0,5520.3,5422.4,5466.8,382979,2092279310.8,21-NOV-2023
APOLLOPIPE,682.0,685.4,674.9,678.75,42267,28700209.75,21-NOV-2023
APOLLOTYRE,425.85,428.6,423.75,424.6,898555,382484572.4,21-NOV-2023
APTUS,292.0,298.0,288.75,290.3,384649,112652408.2,21-NOV-2023
ARE&M,643.0,658.8,641.0,655.05,969614,633224578.75,21-NOV-2023
ARVIND,228.7,228.7,218.95,221.75,1540242,345162575.4,21-NOV-2023
ARVINDFASN,413.9,427.7,412.95,420.05,1265675,532613216.7,21-NOV-2023
ASAHIINDIA,567.0,571.25,561.7,569.7,38587,21893348.15,21-NOV-2023
ASHOKA,142.6,146.2,142.6,144.75,2369233,343248292.65,21-NOV-2023
ASHOKLEY,172.6,178.7,172.3,178.05,16566555,2920963053.1,21-NOV-2023
ASIANPAINT,3156.9,3156.9,3127.0,3133.25,409069,1282813126.2,21-NOV-2023
ASTEC,1237.25,1278.0,1237.25,1260.1,8180,10269775.25,21-NOV-2023
ASTERDM,339.7,344.9,336.0,337.85,275889,93584793.85,21-NOV-2023
ASTRAL,1886.15,1945.0,1886.15,1941.4,379527,731250075.9,21-NOV-2023
ASTRAMICRO,564.2,573.0,550.65,552.15,376933,211167385.45,21-NOV-2023
ASTRAZEN,4668.8,4689.0,4653.0,4681.65,3437,16068364.15,21-NOV-2023
ATGL,536.0,549.0,533.1,540.55,628363,341070236.15,21-NOV-2023
ATUL,6595.0,6656.3,6548.05,6560.25,32331,213263631.95,21-NOV-2023
AUBANK,735.0,740.6,717.65,719.8,1022291,744542087.35,21-NOV-2023
AUROPHARMA,1004.0,1030.5,998.75,1027.25,1580297,1607492526.95,21-NOV-2023
AUTOAXLES,2407.75,2420.95,2361.0,2367.5,16329,38772878.1,21-NOV-2023
AVALON,480.75,480.75,474.6,477.45,246832,118058279.15,21-NOV-2023
AVANTIFEED,394.5,401.55,393.6,396.3,142392,56595687.65,21-NOV-2023
AWL,314.0,327.5,314.0,319.8,6570568,2121455988.15,21-NOV-2023
AXISBANK,989.95,997.5,986.65,991.8,7061614,7005384921.9,21-NOV-2023
BAJAJ-AUTO,5640.5,5707.35,5640.0,5685.95,746193,4240353170.1,21-NOV-2023
BAJAJCON,224.0,225.9,221.5,224.45,478226,107294840.15,21-NOV-2023
BAJAJFINSV,1593.8,1616.45,1593.6,1610.4,1714833,2753666721.15,21-NOV-2023
BAJAJHLDNG,7320.0,7355.0,7234.05,7346.0,11430,83609250.7,21-NOV-2023
BAJFINANCE,7085.0,7128.85,7030.0,7103.15,1666225,11809275268.25,21-NOV-2023
BALAMINES,2044.85,2049.0,2027.05,2030.1,18456,37535378.5,21-NOV-2023
BALKRISIND,2500.0,2513.9,2462.0,2466.15,354926,880298788.6,21-NOV-2023
BALMLAWRIE,157.2,164.9,157.2,160.45,1671356,271356561.15,21-NOV-2023
BALRAMCHIN,446.9,452.25,443.95,448.35,2091525,938328348.55,21-NOV-2023
BANDHANBNK,214.8,215.6,213.25,213.9,5641541,1207435909.0,21-NOV-2023
