SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,536.05,554.9,536.05,539.75,882305,481574168.05,20-OCT-2023
3MINDIA,30488.0,30673.45,30001.0,30092.7,1124,34020699.95,20-OCT-2023
AARTIDRUGS,530.0,542.6,516.05,518.45,520604,275182253.85,20-OCT-2023
AARTIIND,478.95,481.8,472.0,472.55,647819,307971092.05,20-OCT-2023
AARTIPHARM,397.0,405.55,394.65,396.2,75960,30365682.55,20-OCT-2023
AAVAS,1617.0,1623.45,1585.0,1591.05,71159,113871433.3,20-OCT-2023
ABB,4089.95,4094.0,4001.0,4015.3,204827,825111769.5,20-OCT-2023
ABBOTINDIA,22650.1,22727.0,22332.05,22640.25,9241,208459740.65,20-OCT-2023
ABCAPITAL,183.15,184.85,180.2,181.9,1647910,300715778.8,20-OCT-2023
ABFRL,237.5,239.9,228.5,229.4,5876865,1365402340.05,20-OCT-2023
ACC,2021.6,2032.45,1955.6,1963.15,524895,1036409791.1,20-OCT-2023
ACCELYA,1534.0,1547.8,1502.55,1506.15,83545,127519312.15,20-OCT-2023
ACE,711.95,756.6,708.55,739.1,682463,505636145.85,20-OCT-2023
ACI,649.85,653.0,629.0,632.6,256619,164441288.75,20-OCT-2023
ADANIENSOL,760.95,776.95,759.4,764.35,516923,395882539.05,20-OCT-2023
ADANIENT,2398.05,2443.95,2382.05,2393.75,1240350,2981129985.5,20-OCT-2023
ADANIGREEN,938.5,946.8,915.75,920.15,625755,582201653.25,20-OCT-2023
ADANIPORTS,791.8,803.0,788.65,793.65,2434862,1933691213.6,20-OCT-2023
ADANIPOWER,343.0,346.3,335.0,338.3,3464389,1185242074.85,20-OCT-2023
ADVENZYMES,324.7,338.0,323.8,331.8,217357,71735290.65,20-OCT-2023
AEGISCHEM,317.75,318.45,311.85,313.6,129994,40889546.55,20-OCT-2023
AETHER,895.7,902.8,875.6,884.65,72039,64247296.05,20-OCT-2023
AFFLE,1070.0,1085.0,1066.6,1072.2,174537,188216909.4,20-OCT-2023
AGI,954.45,982.0,950.05,970.15,271762,262900216.8,20-OCT-2023
AHLUCONT,722.0,743.45,710.0,725.3,58932,43176313.15,20-OCT-2023
AIAENG,3525.0,3594.9,3429.9,3467.3,103444,362356381.0,20-OCT-2023
AJANTPHARM,1771.0,1786.0,1741.55,1753.5,109201,192599358.2,20-OCT-2023
ALKEM,3585.0,3608.75,3540.0,3585.6,90781,323973373.05,20-OCT-2023
ALKYLAMINE,2237.95,2251.0,2215.0,2225.45,20763,46352173.95,20-OCT-2023
ALLCARGO,267.7,270.3,265.0,265.95,128154,34243650.35,20-OCT-2023
AMBER,2959.0,3080.0,2959.0,3036.6,214041,652026830.05,20-OCT-2023
AMBUJACEM,437.0,439.55,428.1,430.85,2066618,891315607.75,20-OCT-2023
AMIORG,1182.7,1205.0,1182.7,1198.4,38482,45949496.7,20-OCT-2023
ANANDRATHI,1870.1,1909.0,1860.0,1890.8,44587,84495310.6,20-OCT-2023
ANANTRAJ,235.8,239.05,232.0,237.45,605549,142974051.35,20-OCT-2023
ANGELONE,2204.0,2369.7,2196.65,2343.45,3406239,7859904221.75,20-OCT-2023
ANURAS,853.7,855.0,847.0,851.25,64038,54450401.8,20-OCT-2023
APARINDS,5286.7,5340.0,5212.0,5309.4,61286,323525942.75,20-OCT-2023
APCOTEXIND,515.85,518.45,507.1,511.25,17898,9181784.25,20-OCT-2023
APLAPOLLO,1703.5,1729.0,1678.95,1709.05,287244,487366594.05,20-OCT-2023
APLLTD,804.0,812.95,792.05,798.2,103644,83229006.25,20-OCT-2023
APOLLOHOSP,4990.1,4999.95,4940.5,4977.55,252447,1254396498.65,20-OCT-2023
APOLLOPIPE,684.25,697.4,679.1,686.0,62170,42577652.25,20-OCT-2023
APOLLOTYRE,382.95,386.4,379.2,383.95,1309227,501163125.85,20-OCT-2023
APTUS,294.95,294.95,290.0,292.1,349663,102065281.0,20-OCT-2023
ARVIND,190.0,194.0,187.0,188.9,691230,131970282.6,20-OCT-2023
ARVINDFASN,359.8,365.3,352.0,354.15,164821,59002492.4,20-OCT-2023
ASAHIINDIA,582.25,594.65,577.0,579.15,109870,64494580.2,20-OCT-2023
ASHOKA,144.95,150.95,138.55,140.95,5844575,851520466.7,20-OCT-2023
ASHOKLEY,176.0,177.3,171.7,172.2,6177198,1075838581.75,20-OCT-2023
ASIANPAINT,3092.5,3115.1,3064.55,3105.85,711434,2204334814.9,20-OCT-2023
ASTEC,1295.8,1305.95,1250.15,1268.7,16754,21312586.9,20-OCT-2023
ASTERDM,331.0,331.65,326.3,329.0,141630,46621536.0,20-OCT-2023
ASTRAL,1855.05,1884.0,1825.5,1842.55,2374492,4390721412.1,20-OCT-2023
ASTRAMICRO,493.9,496.8,476.9,482.55,631064,307228765.55,20-OCT-2023
ASTRAZEN,4658.85,4678.05,4642.6,4651.1,4908,22834467.55,20-OCT-2023
ATGL,595.0,599.8,589.0,590.8,2119632,1254734246.75,20-OCT-2023
ATUL,6774.95,6863.8,6605.0,6676.7,111332,745685043.45,20-OCT-2023
AUBANK,704.5,707.2,698.1,699.8,1167195,819654966.15,20-OCT-2023
AUROPHARMA,883.0,883.0,862.5,866.2,1222902,1064988315.7,20-OCT-2023
AUTOAXLES,2240.7,2268.0,2240.15,2252.75,5744,12951197.35,20-OCT-2023
AVALON,531.9,539.2,524.3,530.3,320487,169896415.05,20-OCT-2023
AVANTIFEED,428.2,430.25,415.0,418.4,146385,61754399.65,20-OCT-2023
AWL,340.0,341.6,335.05,335.85,496643,167783440.1,20-OCT-2023
AXISBANK,989.0,992.9,977.75,980.35,5664400,5569086834.1,20-OCT-2023
BAJAJ-AUTO,5450.0,5510.0,5436.9,5489.3,763919,4190829743.3,20-OCT-2023
BAJAJCON,243.75,248.15,238.0,238.6,502133,122677269.95,20-OCT-2023
BAJAJFINSV,1627.8,1639.75,1615.0,1635.05,1191783,1942158853.75,20-OCT-2023
BAJAJHLDNG,6861.15,7120.0,6828.0,7055.4,101039,710396074.8,20-OCT-2023
BAJFINANCE,7810.0,7832.35,7722.5,7769.2,771153,5994658305.7,20-OCT-2023
BALAMINES,2177.0,2177.0,2120.0,2125.65,25510,54592396.2,20-OCT-2023
BALKRISIND,2571.55,2581.65,2528.4,2540.75,204557,522434716.55,20-OCT-2023
BALMLAWRIE,148.5,149.8,145.1,145.8,246314,36217598.35,20-OCT-2023
BALRAMCHIN,421.45,426.05,418.1,422.75,1174356,496350157.45,20-OCT-2023
BANDHANBNK,229.15,231.5,225.0,225.5,7440024,1693971774.65,20-OCT-2023
BANKBARODA,204.2,205.6,201.2,202.3,17030658,3454845501.1,20-OCT-2023
BANKINDIA,103.25,104.3,98.4,99.6,10264340,1032257102.45,20-OCT-2023
BARBEQUE,727.0,727.0,693.0,701.55,98894,69503862.8,20-OCT-2023
BATAINDIA,1615.4,1624.0,1603.25,1608.15,94137,151612405.85,20-OCT-2023
BAYERCROP,5175.0,5196.3,5081.8,5088.3,5247,26837624.6,20-OCT-2023
BBTC,1182.0,1419.2,1182.0,1419.2,2397848,3258674881.1,20-OCT-2023
BDL,1005.8,1011.35,996.0,1001.35,159209,159631786.2,20-OCT-2023
BECTORFOOD,1150.65,1164.0,1141.25,1147.35,72520,83612413.2,20-OCT-2023
BEL,136.7,136.9,133.5,134.2,8982112,1210559621.75,20-OCT-2023
