SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,515.0,530.0,511.5,528.9,1632470,853071023.85,22-SEP-2023
3MINDIA,29806.0,31450.0,29806.0,31285.1,6861,211888967.05,22-SEP-2023
AARTIDRUGS,570.0,577.5,550.0,552.35,292277,163266531.2,22-SEP-2023
AARTIIND,504.0,506.2,497.35,499.25,824320,413361015.7,22-SEP-2023
AARTIPHARM,434.5,439.05,423.3,432.0,188566,81278446.35,22-SEP-2023
AAVAS,1659.1,1687.9,1636.0,1653.45,91857,153593371.3,22-SEP-2023
ABB,4317.0,4317.0,4165.0,4187.0,250138,1050287105.75,22-SEP-2023
ABBOTINDIA,22838.35,22938.0,22359.0,22543.25,9333,210316096.3,22-SEP-2023
ABCAPITAL,175.8,179.0,174.65,175.05,4730024,831929283.9,22-SEP-2023
ABFRL,216.5,223.5,214.05,214.55,1757384,379474542.6,22-SEP-2023
ACC,1999.0,2001.55,1967.65,1978.5,238415,472386461.7,22-SEP-2023
ACCELYA,1520.0,1540.95,1508.0,1512.4,13349,20319384.3,22-SEP-2023
ACE,693.0,696.4,663.0,677.75,276139,186959600.15,22-SEP-2023
ACI,598.5,599.9,583.7,585.75,127665,75331863.8,22-SEP-2023
ADANIENSOL,855.0,858.0,835.0,839.1,543417,459003975.35,22-SEP-2023
ADANIENT,2489.95,2498.0,2460.0,2464.9,865589,2141528315.0,22-SEP-2023
ADANIGREEN,1025.0,1025.45,999.0,1018.8,6840537,6950689066.15,22-SEP-2023
ADANIPORTS,833.9,838.7,822.1,827.05,3156509,2623918022.7,22-SEP-2023
ADANIPOWER,385.3,389.25,380.0,383.9,12000168,4613093794.45,22-SEP-2023
ADVENZYMES,323.4,324.2,312.1,323.1,180031,57594452.65,22-SEP-2023
AEGISCHEM,332.9,337.4,330.3,331.65,168273,55939875.95,22-SEP-2023
AETHER,981.5,992.45,975.95,977.6,26261,25721611.55,22-SEP-2023
AFFLE,1088.25,1095.4,1080.0,1080.9,127976,139027266.1,22-SEP-2023
AGI,874.35,942.9,869.05,884.7,962195,869267552.35,22-SEP-2023
AHLUCONT,702.6,710.0,684.0,697.4,73148,50842671.75,22-SEP-2023
AIAENG,3566.3,3566.3,3455.0,3491.85,56491,197382041.45,22-SEP-2023
AJANTPHARM,1731.7,1731.7,1673.5,1705.9,140919,239449748.75,22-SEP-2023
ALKEM,3651.15,3662.15,3541.05,3550.65,267533,952003363.9,22-SEP-2023
ALKYLAMINE,2425.85,2425.85,2375.15,2388.15,21779,52057046.25,22-SEP-2023
ALLCARGO,268.9,269.55,264.2,265.05,204852,54591061.4,22-SEP-2023
AMBER,2946.5,2986.0,2899.85,2967.3,88881,262599768.15,22-SEP-2023
AMBUJACEM,426.0,428.5,418.05,420.95,2666687,1122965625.15,22-SEP-2023
AMIORG,1267.65,1284.95,1256.15,1278.65,48249,61512965.85,22-SEP-2023
ANANDRATHI,1580.0,1580.0,1542.85,1559.9,92791,144705354.55,22-SEP-2023
ANANTRAJ,216.5,218.35,211.0,213.3,1018313,217845903.05,22-SEP-2023
ANGELONE,1864.0,1879.5,1819.0,1842.4,265844,491342875.4,22-SEP-2023
ANURAS,877.85,885.8,872.05,878.95,150637,132454463.75,22-SEP-2023
APARINDS,5282.35,5439.0,5215.05,5276.05,217244,1153220705.95,22-SEP-2023
APCOTEXIND,506.2,508.7,499.05,501.8,21556,10832259.35,22-SEP-2023
APLAPOLLO,1599.8,1619.7,1561.15,1578.25,573249,909419848.55,22-SEP-2023
APLLTD,768.65,782.45,745.0,752.2,160911,122178626.35,22-SEP-2023
APOLLOHOSP,5013.0,5016.8,4955.0,4989.55,348459,1738589320.0,22-SEP-2023
APOLLOPIPE,695.95,701.15,676.35,686.8,52336,36291642.4,22-SEP-2023
APOLLOTYRE,368.8,374.5,366.35,371.75,2440598,906188501.4,22-SEP-2023
