SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,719.7,724.45,707.35,720.1,558348,400688870.6,08-APR-2024
3MINDIA,30348.45,30556.45,29957.0,29990.55,5893,177075530.25,08-APR-2024
AARTIDRUGS,493.0,496.6,484.75,487.3,127980,62758498.85,08-APR-2024
AARTIIND,695.8,710.7,687.0,704.8,1460778,1026643958.25,08-APR-2024
AARTIPHARM,454.0,459.0,443.5,448.25,142066,63636524.95,08-APR-2024
AAVAS,1610.0,1680.0,1602.05,1626.0,1371037,2240754579.95,08-APR-2024
ABB,6670.0,6747.9,6630.5,6699.75,179056,1198929777.0,08-APR-2024
ABBOTINDIA,26783.8,26832.25,26356.6,26400.4,15077,399645163.65,08-APR-2024
ABCAPITAL,205.85,207.05,202.7,203.15,3822968,783063340.05,08-APR-2024
ABFRL,237.45,244.5,236.0,239.4,5838468,1407747310.35,08-APR-2024
ACC,2595.9,2607.0,2540.0,2582.45,311791,807161160.0,08-APR-2024
ACCELYA,1918.95,1928.35,1860.0,1871.15,24899,47009607.6,08-APR-2024
ACE,1596.0,1609.95,1581.85,1589.75,330191,527526585.05,08-APR-2024
ACI,631.0,644.7,617.0,619.8,447635,280969199.15,08-APR-2024
ACLGATI,110.0,110.95,106.5,107.6,260428,28202692.8,08-APR-2024
ADANIENSOL,1105.0,1117.75,1065.0,1075.85,794510,866956467.2,08-APR-2024
ADANIENT,3240.95,3243.5,3197.2,3224.55,577440,1857568319.5,08-APR-2024
ADANIGREEN,1948.05,1974.95,1904.4,1919.1,893399,1740223120.55,08-APR-2024
ADANIPORTS,1381.95,1381.95,1337.0,1348.65,14038860,18961520938.15,08-APR-2024
ADANIPOWER,632.0,632.6,606.0,611.05,2256563,1392362034.75,08-APR-2024
ADVENZYMES,360.0,368.75,355.6,365.8,317459,115240113.55,08-APR-2024
AEGISCHEM,439.4,440.4,431.4,433.85,251818,109402735.4,08-APR-2024
AETHER,858.95,858.95,835.0,839.1,48310,40755467.85,08-APR-2024
AFFLE,1110.0,1111.5,1067.35,1082.4,192186,208865369.5,08-APR-2024
AGI,865.0,880.55,828.0,855.5,283348,243025738.25,08-APR-2024
AHLUCONT,1083.0,1111.5,1080.3,1090.75,184539,201798396.35,08-APR-2024
AIAENG,4075.0,4181.95,4010.0,4093.15,129370,528062368.85,08-APR-2024
AJANTPHARM,2187.8,2206.0,2121.6,2135.5,57973,124909624.2,08-APR-2024
ALKEM,4919.95,4950.0,4845.3,4888.35,150686,734245179.15,08-APR-2024
ALKYLAMINE,2119.9,2124.0,2067.05,2080.0,58861,123185051.9,08-APR-2024
ALLCARGO,78.4,78.4,75.0,75.75,2238373,170959037.15,08-APR-2024
AMBER,3805.0,3909.9,3782.7,3794.1,268010,1030200352.05,08-APR-2024
AMBUJACEM,627.2,634.5,622.1,630.55,2965491,1868141655.6,08-APR-2024
AMIORG,1153.0,1167.8,1147.0,1151.85,63632,73563118.0,08-APR-2024
ANANDRATHI,3689.65,3855.95,3689.6,3737.35,106685,405517809.7,08-APR-2024
ANANTRAJ,334.3,341.05,330.2,337.55,2140766,720196693.65,08-APR-2024
ANGELONE,2998.4,3042.25,2932.05,2945.15,279413,835755231.7,08-APR-2024
ANURAS,893.2,899.65,874.9,877.85,92325,81445645.25,08-APR-2024
APARINDS,7346.0,7405.0,7240.0,7316.0,97655,714036773.3,08-APR-2024
APCOTEXIND,461.0,464.45,457.05,458.05,15697,7215597.9,08-APR-2024
APLAPOLLO,1570.0,1610.85,1555.9,1588.3,566640,900854628.25,08-APR-2024
APLLTD,1013.55,1023.9,998.1,1005.15,151442,152016482.8,08-APR-2024
APOLLOHOSP,6397.75,6397.75,6280.0,6307.75,491584,3098179805.25,08-APR-2024
APOLLOPIPE,684.0,688.0,660.7,667.95,42447,28485448.55,08-APR-2024
APOLLOTYRE,473.35,473.95,467.3,469.9,1551758,730810430.15,08-APR-2024
APTUS,329.3,335.3,322.3,323.95,229106,74901196.95,08-APR-2024
ARE&M,812.0,880.0,808.3,869.05,4861373,4200256387.8,08-APR-2024
ARVIND,303.35,304.0,294.65,296.9,190204,56733803.7,08-APR-2024
ARVINDFASN,441.4,441.5,430.1,431.9,429886,187557434.55,08-APR-2024
ASAHIINDIA,599.4,605.4,587.55,599.0,185490,110511005.7,08-APR-2024
ASHOKA,173.95,175.5,170.35,173.05,1557272,269265407.65,08-APR-2024
ASHOKLEY,176.1,178.2,175.55,177.2,22040896,3906888811.9,08-APR-2024
ASIANPAINT,2908.0,2908.95,2873.8,2892.0,570695,1649224098.35,08-APR-2024
ASTEC,1206.0,1274.4,1187.0,1264.9,97575,121452459.4,08-APR-2024
ASTERDM,480.0,500.0,480.0,484.7,3611664,1764261292.85,08-APR-2024
ASTRAL,2058.65,2058.65,2001.1,2024.8,670678,1361143471.35,08-APR-2024
ASTRAMICRO,638.05,652.95,635.0,638.4,250391,161466964.2,08-APR-2024
ASTRAZEN,5155.0,5595.85,5124.15,5389.4,73312,399374109.05,08-APR-2024
ATGL,986.95,988.0,963.1,966.8,1137434,1110708816.25,08-APR-2024
ATUL,6030.9,6030.9,5907.0,5924.8,20862,124306312.25,08-APR-2024
AUBANK,637.2,637.2,625.8,633.9,3395600,2149630043.85,08-APR-2024
AUROPHARMA,1129.9,1129.9,1104.05,1120.25,1961231,2188128639.75,08-APR-2024
AUTOAXLES,1910.0,1910.0,1837.6,1849.75,14388,26872876.05,08-APR-2024
AVALON,518.0,524.15,512.3,519.7,89155,46204263.8,08-APR-2024
AVANTIFEED,531.35,532.0,518.95,526.75,150321,78957138.0,08-APR-2024
AWL,363.0,366.7,354.6,356.4,2576180,927062384.55,08-APR-2024
AXISBANK,1067.0,1079.45,1063.55,1076.05,4967186,5335383836.95,08-APR-2024
BAJAJ-AUTO,9049.0,9090.0,8951.3,9030.5,376197,3396078262.5,08-APR-2024
BAJAJCON,232.05,232.65,227.1,228.85,215520,49500362.95,08-APR-2024
BAJAJFINSV,1690.0,1702.0,1684.85,1689.15,1345380,2277640417.6,08-APR-2024
BAJAJHLDNG,8239.95,8256.0,8190.0,8238.1,23206,191061675.8,08-APR-2024
BAJFINANCE,7215.0,7226.95,7142.8,7178.55,518210,3718381437.3,08-APR-2024
BALAMINES,2255.9,2258.1,2171.0,2182.1,70965,156227481.5,08-APR-2024
BALKRISIND,2427.5,2450.85,2399.0,2441.75,452062,1099951955.6,08-APR-2024
BALMLAWRIE,256.8,265.85,252.0,259.55,1409791,366288634.15,08-APR-2024
BALRAMCHIN,390.9,392.75,385.3,386.25,855314,332051399.9,08-APR-2024
BANDHANBNK,185.1,189.25,179.25,184.95,64195143,11867178425.7,08-APR-2024
BANKBARODA,272.0,272.45,267.0,267.6,15992006,4312976835.55,08-APR-2024
BANKINDIA,148.5,150.7,143.45,144.2,10648467,1562856716.55,08-APR-2024
BARBEQUE,550.0,561.1,534.0,539.5,117301,63859816.85,08-APR-2024
BATAINDIA,1367.0,1367.0,1337.8,1346.15,434631,586813842.75,08-APR-2024
BAYERCROP,5436.0,5471.9,5385.0,5394.95,4466,24228327.4,08-APR-2024
BBTC,1634.0,1663.95,1621.05,1633.3,45912,75268501.6,08-APR-2024
BDL,1752.4,1772.0,1738.35,1766.15,594328,1043404781.65,08-APR-2024
BECTORFOOD,1151.55,1164.0,1132.3,1139.8,89347,102788696.95,08-APR-2024
BEL,225.55,225.7,222.1,223.55,16422350,3674960371.7,08-APR-2024
BEML,3364.95,3494.0,3341.05,3421.65,569049,1950704749.6,08-APR-2024
BEPL,102.2,106.85,101.6,103.85,1684720,175971413.3,08-APR-2024
BERGEPAINT,562.15,564.55,557.0,560.0,320033,179502993.05,08-APR-2024
BHARATFORG,1152.95,1180.0,1136.0,1173.9,2521920,2940022349.5,08-APR-2024
BHARTIARTL,1188.0,1210.55,1183.1,1204.7,4827733,5784172973.3,08-APR-2024
BHEL,255.75,258.3,254.15,256.45,12516140,3205287283.9,08-APR-2024
BIKAJI,538.85,545.6,528.3,539.4,162170,87546540.0,08-APR-2024
BIOCON,272.8,277.1,267.7,273.8,4185920,1142115369.05,08-APR-2024
BIRLACORPN,1518.0,1543.0,1509.65,1523.5,138783,212260449.25,08-APR-2024
BLS,354.9,358.05,348.05,351.1,1925531,678844332.15,08-APR-2024
BLUEDART,6105.75,6138.9,5958.0,6012.15,55306,331844300.05,08-APR-2024
BLUESTARCO,1409.95,1485.35,1381.0,1407.25,2433964,3480911100.35,08-APR-2024
BOMDYEING,171.9,174.8,170.2,170.85,893769,154220484.8,08-APR-2024
BORORENEW,543.9,549.6,538.1,540.55,367879,200103278.1,08-APR-2024
BOSCHLTD,30980.0,31400.15,30805.0,31087.35,34117,1062646808.4,08-APR-2024
BPCL,595.95,603.6,590.6,591.95,5814256,3463793421.4,08-APR-2024
BRIGADE,978.65,1006.1,957.65,963.4,372990,365485248.85,08-APR-2024
BRITANNIA,4825.05,4841.0,4781.0,4826.8,235219,1130784329.4,08-APR-2024
BSE,2887.9,2902.7,2770.05,2801.7,790071,2240053654.3,08-APR-2024
BSOFT,756.0,756.0,725.8,732.0,1920143,1420804996.4,08-APR-2024
