SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,708.75,744.9,707.75,713.7,327025,236382734.8,21-FEB-2024
3MINDIA,31500.0,31520.0,30909.0,31009.25,2801,87412038.1,21-FEB-2024
AARTIDRUGS,543.7,548.8,530.1,533.45,154253,82877804.05,21-FEB-2024
AARTIIND,709.5,712.0,682.45,687.4,2361143,1654366994.45,21-FEB-2024
AARTIPHARM,539.0,541.7,526.0,529.25,118372,63006822.4,21-FEB-2024
AAVAS,1444.7,1449.9,1434.3,1443.15,256381,369281837.1,21-FEB-2024
ABB,4640.0,5134.0,4640.0,4984.7,4404765,21590340850.9,21-FEB-2024
ABBOTINDIA,29245.0,29348.1,28999.95,29131.35,7813,227944615.75,21-FEB-2024
ABCAPITAL,183.9,186.95,181.9,182.6,3607656,665867608.2,21-FEB-2024
ABFRL,237.5,240.35,225.25,226.65,5898624,1369071121.7,21-FEB-2024
ACC,2690.0,2719.0,2651.1,2666.75,383105,1029889042.0,21-FEB-2024
ACCELYA,1959.95,1968.65,1884.5,1896.3,43879,84034822.55,21-FEB-2024
ACE,1137.6,1154.65,1100.0,1108.0,239338,269740988.75,21-FEB-2024
ACI,740.95,767.3,731.05,759.15,1480764,1121068355.6,21-FEB-2024
ACLGATI,122.6,122.9,118.1,119.1,464552,55841178.9,21-FEB-2024
ADANIENSOL,1075.05,1084.0,1055.05,1064.8,3038030,3258874966.55,21-FEB-2024
ADANIENT,3238.0,3300.0,3205.0,3223.2,1657021,5398571886.0,21-FEB-2024
ADANIGREEN,1926.0,1962.1,1880.05,1904.95,1184961,2281594787.05,21-FEB-2024
ADANIPORTS,1304.8,1315.0,1281.45,1291.0,2770510,3604863684.45,21-FEB-2024
ADVENZYMES,404.0,415.5,402.3,405.9,320431,131219044.7,21-FEB-2024
AEGISCHEM,467.3,470.1,441.0,452.95,769147,351087088.85,21-FEB-2024
AETHER,860.05,871.95,852.0,860.4,37032,32037122.8,21-FEB-2024
AFFLE,1150.0,1163.55,1110.0,1126.7,118684,135195122.35,21-FEB-2024
AGI,831.85,833.35,798.25,801.65,107126,87040859.1,21-FEB-2024
AHLUCONT,1082.0,1181.45,1070.0,1156.75,519170,595246079.6,21-FEB-2024
AIAENG,3875.0,3875.0,3770.0,3797.7,77094,294658421.35,21-FEB-2024
AJANTPHARM,2128.0,2156.7,2099.65,2113.1,71112,151077680.25,21-FEB-2024
ALKEM,5425.0,5520.0,5390.1,5415.5,170880,933268711.2,21-FEB-2024
ALKYLAMINE,2215.05,2233.0,2201.15,2212.75,25308,56135092.45,21-FEB-2024
ALLCARGO,84.8,85.45,82.7,83.25,9664130,809615068.7,21-FEB-2024
AMBER,4050.0,4109.95,3905.6,3955.45,160608,641620626.45,21-FEB-2024
AMBUJACEM,591.9,596.7,583.25,587.8,4209055,2489005176.35,21-FEB-2024
AMIORG,1104.8,1116.0,1080.1,1090.6,78609,86521967.95,21-FEB-2024
ANANDRATHI,3688.0,3715.0,3632.2,3652.35,118570,433350007.15,21-FEB-2024
ANANTRAJ,347.8,350.2,336.45,339.7,950031,325789804.05,21-FEB-2024
ANGELONE,3170.0,3185.8,3080.0,3089.35,131298,410713375.45,21-FEB-2024
ANURAS,912.75,912.75,880.0,890.7,76496,68326119.85,21-FEB-2024
APARINDS,6282.05,6321.0,6100.05,6153.55,63148,393296209.5,21-FEB-2024
APCOTEXIND,482.3,486.6,477.6,478.65,33055,15875379.1,21-FEB-2024
APLAPOLLO,1439.8,1456.0,1421.5,1433.95,296162,426855572.95,21-FEB-2024
