SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,679.2,679.2,667.15,669.7,134150,89966083.45,12-JAN-2024
3MINDIA,34368.0,34368.0,33941.05,34091.4,1700,57936026.1,12-JAN-2024
AARTIDRUGS,520.0,522.75,517.35,521.3,278441,145033505.95,12-JAN-2024
AARTIIND,620.0,630.8,614.75,616.55,1922489,1197927046.55,12-JAN-2024
AARTIPHARM,557.2,560.0,532.1,534.2,254401,137214025.7,12-JAN-2024
AAVAS,1596.5,1614.5,1575.45,1591.55,163805,262139167.5,12-JAN-2024
ABB,4909.9,4909.9,4771.65,4783.95,145377,698349535.65,12-JAN-2024
ABBOTINDIA,25338.1,25869.95,25200.0,25748.9,37367,955831193.85,12-JAN-2024
ABCAPITAL,180.8,181.0,178.5,179.35,5778559,1037653097.0,12-JAN-2024
ABFRL,234.8,236.65,232.5,233.0,1579129,369966732.65,12-JAN-2024
ACC,2335.0,2347.15,2320.0,2332.4,381875,892061104.35,12-JAN-2024
ACCELYA,1588.9,1795.0,1575.45,1749.45,627738,1077606089.25,12-JAN-2024
ACE,908.0,910.9,897.0,898.7,111687,100726698.9,12-JAN-2024
ACI,625.0,639.9,619.95,623.15,406307,256029123.25,12-JAN-2024
ACLGATI,132.35,133.15,129.8,130.45,315162,41425109.85,12-JAN-2024
ADANIENSOL,1167.0,1174.45,1150.1,1152.2,729133,846338207.15,12-JAN-2024
ADANIENT,3096.35,3125.0,3068.2,3104.1,1795933,5567509144.4,12-JAN-2024
ADANIGREEN,1725.6,1746.1,1705.1,1710.7,620508,1069704033.15,12-JAN-2024
ADANIPORTS,1210.4,1218.75,1201.05,1207.1,3912779,4733292436.5,12-JAN-2024
ADVENZYMES,370.6,370.7,362.95,364.95,124479,45562525.85,12-JAN-2024
AEGISCHEM,365.9,369.9,361.45,364.15,484707,177203671.2,12-JAN-2024
AETHER,886.0,894.0,885.0,886.25,68266,60636445.75,12-JAN-2024
AFFLE,1290.25,1315.0,1288.05,1293.9,187035,243973657.15,12-JAN-2024
AGI,876.0,876.0,860.1,868.45,74852,64907151.15,12-JAN-2024
AHLUCONT,844.55,847.85,823.55,827.15,50243,41762611.3,12-JAN-2024
AIAENG,3722.65,3796.0,3714.8,3747.35,27381,102997637.2,12-JAN-2024
AJANTPHARM,2235.0,2256.85,2166.0,2177.6,101171,221151723.75,12-JAN-2024
ALKEM,5072.25,5230.0,5012.0,5048.7,138930,702326647.8,12-JAN-2024
ALKYLAMINE,2460.0,2499.0,2458.05,2480.6,66939,165998282.1,12-JAN-2024
ALLCARGO,82.0,84.0,81.8,82.15,3015671,249338560.0,12-JAN-2024
AMBER,3509.05,3667.0,3463.15,3640.0,147798,530549334.85,12-JAN-2024
AMBUJACEM,543.0,544.75,531.1,532.4,2315342,1242487852.1,12-JAN-2024
AMIORG,1168.0,1168.35,1145.0,1154.6,117894,136417678.6,12-JAN-2024
ANANDRATHI,2819.7,2847.05,2800.0,2815.15,111981,315587824.25,12-JAN-2024
ANANTRAJ,322.0,332.05,321.35,327.95,2676220,874801104.65,12-JAN-2024
ANGELONE,3824.9,3824.9,3750.2,3795.4,150616,569362874.3,12-JAN-2024
ANURAS,953.5,969.1,947.7,959.65,157625,151136067.8,12-JAN-2024
APARINDS,5480.0,5493.0,5293.0,5310.75,232433,1238963804.55,12-JAN-2024
