SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,705.0,710.0,682.35,689.65,132046,91172389.1,18-MAR-2024
3MINDIA,29595.0,29620.85,29241.15,29516.1,1842,54218989.35,18-MAR-2024
AARTIDRUGS,452.75,458.0,450.1,452.95,70974,32291105.75,18-MAR-2024
AARTIIND,633.05,648.95,633.05,645.35,649209,416292423.7,18-MAR-2024
AARTIPHARM,441.2,452.0,432.85,443.55,398960,178125358.2,18-MAR-2024
AAVAS,1377.3,1381.5,1368.0,1378.3,156874,216231911.55,18-MAR-2024
ABB,5645.0,5785.0,5616.55,5766.75,306134,1748957151.6,18-MAR-2024
ABBOTINDIA,28750.0,28750.0,27832.05,28604.15,19878,564961326.45,18-MAR-2024
ABCAPITAL,173.05,174.4,171.1,172.9,2943614,508777079.55,18-MAR-2024
ABFRL,207.5,210.4,205.2,208.15,3137225,651695755.0,18-MAR-2024
ACC,2480.1,2480.1,2393.05,2441.55,612586,1494766320.45,18-MAR-2024
ACCELYA,1671.0,1699.95,1642.35,1680.0,9472,15834329.25,18-MAR-2024
ACE,1238.4,1310.0,1230.05,1274.85,549590,700832577.15,18-MAR-2024
ACI,615.55,631.0,600.25,614.4,1378025,846427409.8,18-MAR-2024
ACLGATI,103.75,104.05,100.0,100.45,376531,38170026.85,18-MAR-2024
ADANIENSOL,1008.0,1030.95,971.5,1008.85,3008345,3049545360.05,18-MAR-2024
ADANIENT,3050.1,3124.0,2976.05,3111.75,3042515,9290011236.8,18-MAR-2024
ADANIGREEN,1810.05,1899.9,1750.85,1869.9,1479146,2741685818.9,18-MAR-2024
ADANIPORTS,1250.0,1270.05,1227.25,1266.6,4858444,6079467325.85,18-MAR-2024
ADANIPOWER,511.0,532.0,510.0,529.4,3486054,1823685351.45,18-MAR-2024
ADVENZYMES,355.55,363.9,354.4,356.8,104271,37366689.1,18-MAR-2024
AEGISCHEM,383.95,399.0,383.0,396.9,1355177,533260328.8,18-MAR-2024
AETHER,810.15,816.3,806.15,814.1,27784,22582437.5,18-MAR-2024
AFFLE,1022.0,1040.0,1021.55,1027.2,87203,89830560.2,18-MAR-2024
AGI,775.1,778.35,740.1,743.75,137800,103436570.05,18-MAR-2024
AHLUCONT,1047.0,1055.35,1020.7,1038.8,59971,62152137.3,18-MAR-2024
AIAENG,3614.95,3647.9,3573.05,3636.85,56718,204166226.45,18-MAR-2024
AJANTPHARM,2132.8,2132.8,2104.25,2124.45,62074,131635320.15,18-MAR-2024
ALKEM,5050.0,5068.8,4910.0,4975.65,81473,404262760.35,18-MAR-2024
ALKYLAMINE,1981.85,2011.0,1975.0,1981.2,29882,59407165.15,18-MAR-2024
ALLCARGO,68.4,68.9,66.1,67.2,4681396,316628715.35,18-MAR-2024
AMBER,3420.0,3499.95,3322.0,3347.85,394496,1337934466.95,18-MAR-2024
AMBUJACEM,595.0,595.0,582.2,584.65,6348109,3724783252.0,18-MAR-2024
AMIORG,1080.7,1110.2,1072.2,1106.5,118096,129665537.25,18-MAR-2024
ANANDRATHI,3577.1,3744.7,3577.1,3613.9,47406,173085297.95,18-MAR-2024
ANANTRAJ,298.35,302.5,291.0,296.1,1062243,313423395.1,18-MAR-2024
ANGELONE,2624.95,2675.0,2525.0,2536.1,279645,719366398.7,18-MAR-2024
ANURAS,906.8,920.0,902.0,911.35,38613,35082752.05,18-MAR-2024
APARINDS,6076.0,6150.0,5876.0,6107.25,134020,808521927.0,18-MAR-2024
APCOTEXIND,422.2,427.4,416.2,421.35,33071,13950696.95,18-MAR-2024
APLAPOLLO,1472.95,1558.95,1463.7,1547.35,439875,672277280.25,18-MAR-2024
APLLTD,951.7,978.9,937.55,963.25,130439,124922049.75,18-MAR-2024
APOLLOHOSP,5997.75,6144.95,5978.65,6136.55,419258,2553134032.95,18-MAR-2024
APOLLOPIPE,654.3,663.95,645.1,651.75,36085,23630227.5,18-MAR-2024
APOLLOTYRE,475.0,475.9,457.2,458.1,5046215,2336503729.65,18-MAR-2024
APTUS,313.9,319.3,311.3,317.85,87062,27501858.2,18-MAR-2024
ARE&M,795.0,806.9,785.0,788.65,519444,410855620.4,18-MAR-2024
ARVIND,261.0,272.95,259.75,270.9,298660,79700023.05,18-MAR-2024
ARVINDFASN,455.0,456.85,444.5,455.0,90729,40950201.15,18-MAR-2024
ASAHIINDIA,509.0,515.75,505.0,506.5,35536,18092298.25,18-MAR-2024
ASHOKA,164.0,165.75,156.5,157.05,1655531,263574859.05,18-MAR-2024
ASHOKLEY,162.2,163.45,159.75,162.65,13639776,2203331763.5,18-MAR-2024
ASIANPAINT,2866.0,2866.0,2817.25,2846.5,940424,2669223600.4,18-MAR-2024
