SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
360ONE,729.95,741.45,722.7,735.8,1515257,1115679626.5,10-APR-2024
3MINDIA,30348.0,30348.95,29770.0,29850.9,2535,75886676.35,10-APR-2024
AARTIDRUGS,513.05,515.0,504.35,507.95,153723,78217148.0,10-APR-2024
AARTIIND,700.0,744.95,699.95,736.25,5200846,3795710969.3,10-APR-2024
AARTIPHARM,439.95,448.5,436.7,446.8,148165,65779275.1,10-APR-2024
AAVAS,1595.8,1596.7,1568.0,1579.5,205243,324598559.25,10-APR-2024
ABB,6578.65,6666.0,6560.0,6641.55,234204,1551695389.05,10-APR-2024
ABBOTINDIA,26421.0,27238.9,26421.0,27021.8,16752,451621156.75,10-APR-2024
ABCAPITAL,203.45,204.55,201.5,202.9,2527746,512753211.85,10-APR-2024
ABFRL,238.0,243.0,234.7,238.25,3437500,820130616.15,10-APR-2024
ACC,2524.3,2542.0,2513.75,2524.7,168415,425747571.45,10-APR-2024
ACCELYA,1852.95,1875.0,1825.0,1847.8,15283,28224020.5,10-APR-2024
ACE,1554.5,1558.9,1453.0,1484.4,363351,543994460.0,10-APR-2024
ACI,617.0,658.85,611.8,653.55,1755726,1121030828.8,10-APR-2024
ACLGATI,106.75,107.4,105.5,107.0,191285,20362519.75,10-APR-2024
ADANIENSOL,1075.8,1076.0,1056.0,1064.25,450543,479745569.0,10-APR-2024
ADANIENT,3200.0,3254.6,3192.5,3242.0,1441138,4656932148.25,10-APR-2024
ADANIGREEN,1920.05,1924.15,1895.0,1907.5,301534,574188423.3,10-APR-2024
ADANIPORTS,1359.0,1359.9,1348.2,1352.3,3984001,5388066733.05,10-APR-2024
ADANIPOWER,621.4,621.9,610.0,617.85,1518665,934931410.3,10-APR-2024
ADVENZYMES,359.8,364.0,353.2,361.15,178621,64167006.2,10-APR-2024
AEGISCHEM,440.0,472.0,438.05,463.35,4455222,2062078234.05,10-APR-2024
AETHER,839.85,865.1,829.25,842.95,66815,56237036.85,10-APR-2024
AFFLE,1078.95,1113.0,1077.3,1092.25,314057,344771703.25,10-APR-2024
AGI,877.9,877.9,831.0,835.05,137081,116714584.9,10-APR-2024
AHLUCONT,1081.7,1099.0,1072.5,1087.9,63000,68543225.25,10-APR-2024
AIAENG,4110.25,4130.55,3982.65,4010.85,31365,126761113.55,10-APR-2024
AJANTPHARM,2150.65,2155.0,2130.0,2139.65,87330,186932623.4,10-APR-2024
ALKEM,4868.25,4874.2,4813.2,4824.5,183779,889788730.95,10-APR-2024
ALKYLAMINE,2116.35,2177.0,2090.55,2140.7,128073,274825340.2,10-APR-2024
ALLCARGO,76.75,76.9,71.35,72.9,7184098,524221598.05,10-APR-2024
AMBER,3794.0,3809.9,3663.0,3692.15,107426,400308492.9,10-APR-2024
AMBUJACEM,620.4,628.75,620.4,625.65,1293786,810195785.1,10-APR-2024
AMIORG,1222.0,1296.5,1208.0,1274.95,1059950,1347526212.4,10-APR-2024
ANANDRATHI,4100.0,4125.0,3890.0,3907.15,119760,477225030.65,10-APR-2024
ANANTRAJ,346.2,349.0,340.3,345.45,2666768,913774064.85,10-APR-2024
ANGELONE,2854.7,2937.7,2821.05,2912.05,444470,1287884664.7,10-APR-2024
ANURAS,879.95,884.0,859.0,877.8,171961,149346894.75,10-APR-2024
APARINDS,7260.0,7275.2,6940.0,7153.35,166879,1184937823.85,10-APR-2024
APCOTEXIND,470.2,474.0,462.55,468.2,13015,6081597.7,10-APR-2024
APLAPOLLO,1606.95,1607.0,1556.5,1568.5,548363,862916662.85,10-APR-2024
APLLTD,994.9,996.75,972.6,993.75,77497,76756682.3,10-APR-2024
APOLLOHOSP,6505.05,6515.9,6451.0,6489.85,174947,1134145014.0,10-APR-2024
APOLLOPIPE,666.95,667.55,658.65,663.65,19221,12751607.15,10-APR-2024
APOLLOTYRE,472.0,491.1,472.0,488.75,4950136,2389859028.55,10-APR-2024
APTUS,324.65,331.25,321.3,326.6,1429673,462009590.5,10-APR-2024
ARE&M,905.0,905.5,873.15,878.45,625163,554289036.9,10-APR-2024
ARVIND,299.0,303.8,295.85,302.4,303101,91261798.5,10-APR-2024
ARVINDFASN,450.0,454.2,439.0,448.65,249736,111542088.3,10-APR-2024
ASAHIINDIA,597.5,603.0,589.0,599.6,129362,77297892.35,10-APR-2024
ASHOKA,173.5,174.9,171.0,172.9,912691,158209405.85,10-APR-2024
ASHOKLEY,176.3,180.6,176.0,178.5,15885567,2835982502.3,10-APR-2024
ASIANPAINT,2883.3,2899.1,2858.0,2896.75,740495,2134711455.2,10-APR-2024
ASTEC,1242.35,1335.75,1235.4,1301.05,288446,365613769.9,10-APR-2024
ASTERDM,476.85,483.7,474.15,475.25,1064458,507538754.3,10-APR-2024
ASTRAL,2007.95,2014.7,1990.0,1995.25,180200,360589123.3,10-APR-2024
ASTRAMICRO,658.9,666.2,648.05,657.55,221190,145043213.85,10-APR-2024
ASTRAZEN,5357.25,5424.0,5337.85,5398.5,20691,111669207.9,10-APR-2024
