Time,ExpiryDate,MaxPain,PCR,PCR_TradedVol,call_decay,put_decay,total_COI_CE,total_COI_PE,total_OI_CE,total_OI_PE,underlying
09:06,28-MAR-2024,22100.0,1.34,1.25,80.22,-64.57000000000001,56969.0,71094.0,562898.0,752021.0,22338.75
09:35,28-MAR-2024,22100.0,1.11,0.91,-26.57,29.8,13779,1178,752671,836222,21942.85
09:35,28-MAR-2024,22100.0,1.11,0.91,-26.57,29.8,13779,1178,752671,836222,21942.85
09:35,21-MAR-2024,22000.0,0.69,0.98,-17.979999999999997,29.4,312477,79680,2072170,1431430,21942.85
09:38,21-MAR-2024,22000.0,0.69,0.98,-17.059999999999995,24.809999999999995,344611,93003,2104304,1444753,21945.55
09:41,21-MAR-2024,22000.0,0.69,0.99,-16.91,24.8,364363,108610,2124056,1460360,21951.7
09:44,21-MAR-2024,22000.0,0.69,0.99,-16.91,24.8,364363,108610,2124056,1460360,21951.7
09:47,21-MAR-2024,22000.0,0.69,0.99,-16.049999999999997,21.24,385151,130747,2144844,1482497,21972.15
09:50,21-MAR-2024,22000.0,0.69,0.99,-16.74,18.08,388446,126331,2148139,1478081,21956.9
09:50,21-MAR-2024,22000.0,0.69,0.99,-16.65,17.750000000000004,393279,139258,2152972,1491008,21947.4
09:51,21-MAR-2024,22000.0,0.69,0.99,-16.65,17.750000000000004,393279,139258,2152972,1491008,21952.3
09:54,21-MAR-2024,22000.0,0.69,0.99,-17.95,19.7,400433,147807,2160126,1499557,21946.4
09:57,21-MAR-2024,22000.0,0.69,0.97,-27.079999999999995,19.84,421491,153130,2181184,1504880,21946.15
10:00,21-MAR-2024,22000.0,0.69,0.98,-32.38,28.17,425768,155048,2185461,1506798,21941.75
10:03,21-MAR-2024,22000.0,0.66,1.01,-35.77,32.18,459918,109522,2219611,1461272,21884.75
10:06,21-MAR-2024,22000.0,0.66,1.01,-35.419999999999995,32.6,459956,109607,2219649,1461357,21882.85
10:09,21-MAR-2024,22000.0,0.63,1.01,-37.25,36.78,526838,94811,2286531,1446561,21874.55
10:12,21-MAR-2024,22000.0,0.63,1.01,-36.73,33.39,526743,94924,2286436,1446674,21862.75
10:15,21-MAR-2024,21950.0,0.62,1.01,-36.42,33.14,586199,93963,2345892,1445713,21882.7
10:18,21-MAR-2024,21950.0,0.62,1.01,-37.74999999999999,34.870000000000005,586660,93951,2346353,1445701,21879.2
10:21,21-MAR-2024,21950.0,0.62,1.0,-36.92999999999999,24.26,614570,111289,2374263,1463039,21876.5
10:24,21-MAR-2024,21950.0,0.62,1.02,-39.14,31.09,614575,111647,2374268,1463397,21871.5
10:27,21-MAR-2024,21950.0,0.62,1.02,-39.14,31.09,614575,111647,2374268,1463397,21871.5
10:30,21-MAR-2024,21950.0,0.6,1.03,-38.92,28.32,643483,99047,2403176,1450797,21866.35
10:33,21-MAR-2024,21950.0,0.6,1.03,-40.24999999999999,30.49,659700,109267,2419393,1461017,21842.85
10:36,21-MAR-2024,21950.0,0.6,1.03,-37.19,23.83,659712,109134,2419405,1460884,21861.95
10:39,21-MAR-2024,21950.0,0.6,1.03,-39.17,26.22,667484,98588,2427177,1450338,21879.85
10:42,21-MAR-2024,21950.0,0.6,1.03,-38.86,25.6,667301,98623,2426994,1450373,21877.25
10:46,21-MAR-2024,21950.0,0.6,1.03,-39.61999999999999,26.37,691006,118353,2450699,1470103,21865.65
10:48,21-MAR-2024,21950.0,0.6,1.03,-39.61999999999999,26.37,691006,118353,2450699,1470103,21865.65
10:51,21-MAR-2024,21950.0,0.6,1.03,-40.23,26.54,705633,121153,2465326,1472903,21869.4
10:54,21-MAR-2024,21950.0,0.6,1.02,-39.77,25.73,707958,127679,2467651,1479429,21860.25
10:57,21-MAR-2024,21950.0,0.6,1.02,-40.67,27.07,726007,135350,2485700,1487100,21861.6
11:00,21-MAR-2024,21950.0,0.6,1.02,-40.67,27.07,726007,135350,2485700,1487100,21861.6
11:04,21-MAR-2024,21950.0,0.59,1.01,-43.09,30.46,749933,137808,2509626,1489558,21859.55
11:07,21-MAR-2024,21950.0,0.59,1.02,-42.220000000000006,28.420000000000005,755583,136316,2515276,1488066,21851.4
11:09,21-MAR-2024,21950.0,0.59,1.02,-43.03,29.96,760088,138838,2519781,1490588,21853.15
11:12,21-MAR-2024,21950.0,0.59,1.02,-43.61999999999999,30.28,760141,138978,2519834,1490728,21845.45
11:16,21-MAR-2024,21900.0,0.59,1.02,-42.49,27.97,789878,148696,2549571,1500446,21849.55
11:19,21-MAR-2024,21900.0,0.59,1.02,-41.73,26.55,793619,150840,2553312,1502590,21859.7
11:21,21-MAR-2024,21900.0,0.59,1.02,-39.3,21.18,800046,155951,2559739,1507701,21876.35
11:25,21-MAR-2024,21900.0,0.59,1.02,-40.47,24.06,786919,150266,2546612,1502016,21873.45
11:28,21-MAR-2024,21900.0,0.59,1.02,-41.57,25.3,791193,154058,2550886,1505808,21863.0
11:31,21-MAR-2024,21900.0,0.59,1.02,-42.13,25.790000000000003,790225,156509,2549918,1508259,21864.9
